"","Sequence_ID","Cluster99","Cluster95","Cluster90","Cluster85","Cluster80"
"62084","KT919972_0A_Fwd_219498","99_2073","95_2015","90_1990","85_1955","80_1930"
"62085","KT919973_0A_Fwd_32047","99_2073","95_2015","90_1990","85_1955","80_1930"
"62086","ON190025_0A_Fwd_11748","99_2073","95_2015","90_1990","85_1955","80_1930"
"62087","AY283928_0A_Fwd_106453","99_2073","95_2015","90_1990","85_1955","80_1930"
"62088","KC131129_0A_Fwd_44102","99_2073","95_2015","90_1990","85_1955","80_1930"
"62089","OR538032_0A_Fwd_15066","99_2073","95_2015","90_1990","85_1955","80_1930"
"62090","MN794232_0A_Fwd_107407","99_2073","95_2015","90_1990","85_1955","80_1930"
"62091","MF893340_0A_Fwd_2032","99_24545","95_22048","90_20714","85_19550","80_18573"
"62092","MF893340_0A_Rev_65096","99_24546","95_22049","90_20715","85_19551","80_18574"
"62093","MF893341_0A_Rev_24445","99_24548","95_22051","90_20717","85_19552","80_18575"
"62094","MF893341_0A_Fwd_38681","99_24549","95_22052","90_20718","85_19553","80_18576"
"62095","MF893341_0A_Rev_37049","99_24550","95_22053","90_20719","85_19554","80_18577"
"62096","MF893341_0A_Rev_32989","99_24551","95_22054","90_20720","85_19555","80_18578"
"62097","MF893341_0A_Rev_37863","99_24552","95_22055","90_20721","85_19556","80_18579"
"62098","MF893341_0A_Rev_448","99_24553","95_22056","90_20722","85_19557","80_18580"
"62099","MF893341_0A_Fwd_3686","99_24554","95_22057","90_20723","85_19558","80_18581"
"62100","MF893341_0A_Fwd_16746","99_24555","95_22058","90_20724","85_19559","80_18582"
"62101","KM366097_0A_Fwd_37669","99_13196","95_12220","90_11700","85_1956","80_1931"
"62102","AY370673_0A_Fwd_37452","99_2074","95_2016","90_1991","85_1956","80_1931"
"62103","MZ573924_0A_Fwd_38525","99_5161","95_4886","90_4767","85_1956","80_1931"
"62104","LC730323_0A_Fwd_37452","99_2074","95_2016","90_1991","85_1956","80_1931"
"62105","AY288927_0A_Fwd_37452","99_2074","95_2016","90_1991","85_1956","80_1931"
"62106","GU595417_0A_Fwd_38342","99_5161","95_4886","90_4767","85_1956","80_1931"
"62107","MF893341_0A_Rev_4641","99_24556","95_22059","90_20725","85_19560","80_18583"
"62108","MF893341_0A_Rev_30157","99_24557","95_22060","90_20726","85_19561","80_18584"
"62109","MN183280_0A_Rev_126383","99_24561","95_22063","90_20728","85_19562","80_18585"
"62110","MF919495_0A_Rev_128054","99_24561","95_22063","90_20728","85_19562","80_18585"
"62111","MK359329_0A_Rev_126901","99_24561","95_22063","90_20728","85_19562","80_18585"
"62112","MH051260_0A_Rev_126953","99_24561","95_22063","90_20728","85_19562","80_18585"
"62113","MW822148_0A_Rev_127290","99_24561","95_22063","90_20728","85_19562","80_18585"
"62114","PP405131_0A_Rev_126066","99_24561","95_22063","90_20728","85_19562","80_18585"
"62115","MK359317_0A_Rev_125148","99_24561","95_22063","90_20728","85_19562","80_18585"
"62116","MK359306_0A_Rev_126916","99_24561","95_22063","90_20728","85_19562","80_18585"
"62117","MG812494_0A_Rev_127017","99_24561","95_22063","90_20728","85_19562","80_18585"
"62118","MF919494_0A_Rev_125332","99_24561","95_22063","90_20728","85_19562","80_18585"
"62119","MK359335_0A_Rev_126203","99_24561","95_22063","90_20728","85_19562","80_18585"
"62120","MF919498_0A_Fwd_16781","99_24565","95_22064","90_20729","85_19563","80_14750"
"62121","MF919498_0A_Rev_47946","99_24573","95_22068","90_20731","85_19564","80_1709"
"62122","MW584161_0A_Rev_54362","99_48010","95_42175","90_39040","85_19565","80_18586"
"62123","MW584204_0A_Rev_54550","99_48010","95_42175","90_39040","85_19565","80_18586"
"62124","MH001449_0A_Rev_23476","99_27394","95_24553","90_23019","85_19565","80_18586"
"62125","OQ417972_0A_Rev_54070","99_48010","95_42175","90_39040","85_19565","80_18586"
"62126","MW584188_0A_Rev_55026","99_48010","95_42175","90_39040","85_19565","80_18586"
"62127","MF919502_0A_Rev_23528","99_24576","95_22069","90_20732","85_19565","80_18586"
"62128","MW584180_0A_Rev_54362","99_48010","95_42175","90_39040","85_19565","80_18586"
"62129","MW584152_0A_Rev_54826","99_47944","95_42113","90_38979","85_19565","80_18586"
"62130","OM105885_0A_Rev_23668","99_24576","95_22069","90_20732","85_19565","80_18586"
"62131","MZ343158_0A_Rev_23537","99_24576","95_22069","90_20732","85_19565","80_18586"
"62132","MN369739_0A_Rev_23921","99_24576","95_22069","90_20732","85_19565","80_18586"
"62133","MK977709_0A_Fwd_33727","99_24577","95_22070","90_20733","85_19566","80_18587"
"62134","MF919502_0A_Fwd_32924","99_24577","95_22070","90_20733","85_19566","80_18587"
"62135","MF919502_0A_Fwd_32804","99_24580","95_22072","90_20735","85_19567","80_18588"
"62136","MK977709_0A_Fwd_33607","99_24580","95_22072","90_20735","85_19567","80_18588"
"62137","MF919504_0A_Fwd_30559","99_24581","95_22073","90_20736","85_19568","80_18589"
"62138","PQ184790_0A_Rev_76922","99_24583","95_22075","90_20737","85_19569","80_18590"
"62139","MW132714_0A_Rev_80142","99_24583","95_22075","90_20737","85_19569","80_18590"
"62140","MF919504_0A_Rev_80734","99_24583","95_22075","90_20737","85_19569","80_18590"
"62141","MK967402_0A_Rev_80408","99_24583","95_22075","90_20737","85_19569","80_18590"
"62142","MK524521_0A_Rev_80991","99_24583","95_22075","90_20737","85_19569","80_18590"
"62143","AY370673_0A_Fwd_41023","99_2075","95_2017","90_1992","85_1957","80_1932"
"62144","KM366097_0A_Fwd_40978","99_2075","95_2017","90_1992","85_1957","80_1932"
"62145","ON526838_0A_Fwd_34113","99_17758","95_16196","90_15355","85_1957","80_1932"
"62146","ON409568_0A_Fwd_28410","99_17758","95_16196","90_15355","85_1957","80_1932"
"62147","AY288927_0A_Fwd_41023","99_2075","95_2017","90_1992","85_1957","80_1932"
"62148","LC730323_0A_Fwd_41023","99_2075","95_2017","90_1992","85_1957","80_1932"
"62149","KX017520_0A_Fwd_32527","99_17758","95_16196","90_15355","85_1957","80_1932"
"62150","OL770276_0A_Fwd_1197","99_17758","95_16196","90_15355","85_1957","80_1932"
"62151","OR526487_0A_Fwd_145","99_17758","95_16196","90_15355","85_1957","80_1932"
"62152","ON720976_0A_Fwd_4670","99_17758","95_16196","90_15355","85_1957","80_1932"
"62153","OL436139_0A_Fwd_26275","99_17758","95_16196","90_15355","85_1957","80_1932"
"62154","PP280813_0A_Fwd_10391","99_17758","95_16196","90_15355","85_1957","80_1932"
"62155","MF919504_0A_Rev_43618","99_24584","95_22076","90_20738","85_19570","80_18591"
"62156","MK524516_0A_Rev_42670","99_24584","95_22076","90_20738","85_19570","80_18591"
"62157","MN586029_0A_Rev_38578","99_24584","95_22076","90_20738","85_19570","80_18591"
"62158","MK524521_0A_Rev_43145","99_24584","95_22076","90_20738","85_19570","80_18591"
"62159","MW314846_0A_Rev_38199","99_24584","95_22076","90_20738","85_19570","80_18591"
"62160","MH399772_0A_Rev_40228","99_24584","95_22076","90_20738","85_19570","80_18591"
"62161","MF919512_0A_Rev_43657","99_24584","95_22076","90_20738","85_19570","80_18591"
"62162","PQ184790_0A_Rev_43152","99_24584","95_22076","90_20738","85_19570","80_18591"
"62163","PQ362668_0A_Fwd_45670","99_74505","95_64220","90_20739","85_19571","80_18592"
"62164","PQ362659_0A_Fwd_44762","99_74505","95_64220","90_20739","85_19571","80_18592"
"62165","MF919508_0A_Fwd_46359","99_24585","95_22077","90_20739","85_19571","80_18592"
"62166","MK112532_0A_Fwd_47967","99_29617","95_26475","90_24779","85_19571","80_18592"
"62167","MH576974_0A_Fwd_45832","99_29617","95_26475","90_24779","85_19571","80_18592"
"62168","MN617845_0A_Fwd_49917","99_29617","95_26475","90_24779","85_19571","80_18592"
"62169","MG872833_0A_Fwd_46853","99_24585","95_22077","90_20739","85_19571","80_18592"
"62170","MF919510_0A_Fwd_21542","99_24587","95_22079","90_20740","85_19572","80_18593"
"62171","MK376962_0A_Fwd_22439","99_24587","95_22079","90_20740","85_19572","80_18593"
"62172","MF919510_0A_Rev_2708","99_24588","95_22080","90_20741","85_19573","80_18594"
"62173","MH779499_0A_Rev_34263","99_24591","95_22083","90_20744","85_19574","80_10745"
"62174","MZ322010_0A_Rev_33784","99_24591","95_22083","90_20744","85_19574","80_10745"
"62175","OQ709223_0A_Rev_34383","99_57596","95_50219","90_46202","85_19574","80_10745"
"62176","MG757166_0A_Rev_34263","99_24591","95_22083","90_20744","85_19574","80_10745"
"62177","ON456333_0A_Rev_34077","99_57596","95_50219","90_46202","85_19574","80_10745"
"62178","OR159651_0A_Rev_34077","99_57596","95_50219","90_46202","85_19574","80_10745"
"62179","MF919510_0A_Rev_33199","99_24591","95_22083","90_20744","85_19574","80_10745"
"62180","MK376962_0A_Rev_34096","99_24591","95_22083","90_20744","85_19574","80_10745"
"62181","MG757166_0A_Fwd_34378","99_24594","95_22086","90_20747","85_19575","80_5990"
"62182","MK376962_0A_Fwd_34211","99_24594","95_22086","90_20747","85_19575","80_5990"
"62183","MH779499_0A_Fwd_34378","99_24594","95_22086","90_20747","85_19575","80_5990"
"62184","MZ322010_0A_Fwd_33899","99_24594","95_22086","90_20747","85_19575","80_5990"
"62185","MF919510_0A_Fwd_33314","99_24594","95_22086","90_20747","85_19575","80_5990"
"62186","MZ322010_0A_Fwd_52474","99_24595","95_22087","90_20748","85_19576","80_5983"
"62187","MG757166_0A_Fwd_53025","99_24595","95_22087","90_20748","85_19576","80_5983"
"62188","MF919510_0A_Fwd_51803","99_24595","95_22087","90_20748","85_19576","80_5983"
"62189","OQ709223_0A_Fwd_53528","99_64181","95_55769","90_27124","85_19576","80_5983"
"62190","MH779499_0A_Fwd_53025","99_24595","95_22087","90_20748","85_19576","80_5983"
"62191","MK376962_0A_Fwd_52839","99_32681","95_29081","90_27124","85_19576","80_5983"
"62192","MG757166_0A_Fwd_7660","99_26753","95_24022","90_22554","85_19577","80_18595"
"62193","MK376962_0A_Fwd_8414","99_32685","95_29084","90_27126","85_19577","80_18595"
"62194","MH779499_0A_Fwd_7660","99_26753","95_24022","90_22554","85_19577","80_18595"
"62195","OR159651_0A_Fwd_7231","99_57607","95_50228","90_20749","85_19577","80_18595"
"62196","ON456333_0A_Fwd_7231","99_57607","95_50228","90_20749","85_19577","80_18595"
"62197","MZ322010_0A_Fwd_8144","99_32685","95_29084","90_27126","85_19577","80_18595"
"62198","OQ709223_0A_Fwd_7537","99_57607","95_50228","90_20749","85_19577","80_18595"
"62199","MF919510_0A_Fwd_7535","99_24596","95_22088","90_20749","85_19577","80_18595"
"62200","MF919510_0A_Fwd_28307","99_24597","95_22089","90_20750","85_19578","80_18596"
"62201","MH779499_0A_Fwd_29371","99_24597","95_22089","90_20750","85_19578","80_18596"
"62202","MZ322010_0A_Fwd_28892","99_24597","95_22089","90_20750","85_19578","80_18596"
"62203","MG757166_0A_Fwd_29371","99_24597","95_22089","90_20750","85_19578","80_18596"
"62204","OR159651_0A_Fwd_43268","99_57589","95_50212","90_46195","85_19579","80_18597"
"62205","MH779499_0A_Fwd_43437","99_24598","95_22090","90_20751","85_19579","80_18597"
"62206","MZ322010_0A_Fwd_42958","99_24598","95_22090","90_20751","85_19579","80_18597"
"62207","MG757166_0A_Fwd_43437","99_24598","95_22090","90_20751","85_19579","80_18597"
"62208","MK376962_0A_Fwd_43271","99_24598","95_22090","90_20751","85_19579","80_18597"
"62209","ON456333_0A_Fwd_43268","99_57589","95_50212","90_46195","85_19579","80_18597"
"62210","MF919510_0A_Fwd_42373","99_24598","95_22090","90_20751","85_19579","80_18597"
"62211","AY299121_0A_Rev_9309","99_2077","95_2019","90_1994","85_1958","80_1933"
"62212","OR966858_0A_Rev_8908","99_68723","95_59554","90_54543","85_1958","80_1933"
"62213","DQ777876_0A_Rev_8449","99_2077","95_2019","90_1994","85_1958","80_1933"
"62214","MZ322010_0A_Rev_52101","99_24599","95_22091","90_20752","85_19580","80_18598"
"62215","MF919510_0A_Rev_51430","99_24599","95_22091","90_20752","85_19580","80_18598"
"62216","MF919510_0A_Rev_2294","99_24600","95_22092","90_20753","85_19581","80_18599"
"62217","MZ322010_0A_Rev_3023","99_24600","95_22092","90_20753","85_19581","80_18599"
"62218","MH779499_0A_Rev_944","99_26751","95_24020","90_22552","85_19582","80_18600"
"62219","MZ322010_0A_Rev_915","99_24601","95_22093","90_20754","85_19582","80_18600"
"62220","MG757166_0A_Rev_944","99_26751","95_24020","90_22552","85_19582","80_18600"
"62221","MF919510_0A_Rev_915","99_24601","95_22093","90_20754","85_19582","80_18600"
"62222","MZ322010_0A_Rev_852","99_24602","95_22094","90_20755","85_19583","80_18601"
"62223","MF919510_0A_Rev_852","99_24602","95_22094","90_20755","85_19583","80_18601"
"62224","MK376962_0A_Rev_894","99_32682","95_29082","90_20755","85_19583","80_18601"
"62225","MF919510_0A_Fwd_7449","99_24603","95_22095","90_20756","85_19584","80_18602"
"62226","MF919510_0A_Rev_56375","99_24604","95_22096","90_20757","85_19585","80_18603"
"62227","MZ322010_0A_Rev_57046","99_24604","95_22096","90_20757","85_19585","80_18603"
"62228","MK977695_0A_Rev_11736","99_24605","95_22097","90_20758","85_19586","80_18604"
"62229","MZ322010_0A_Rev_4390","99_24605","95_22097","90_20758","85_19586","80_18604"
"62230","MK977696_0A_Rev_11735","99_24605","95_22097","90_20758","85_19586","80_18604"
"62231","MF919510_0A_Rev_3781","99_24605","95_22097","90_20758","85_19586","80_18604"
"62232","MF919542_0A_Fwd_35369","99_24664","95_22137","90_20760","85_19587","80_18605"
"62233","MZ322010_0A_Fwd_34817","99_24607","95_22099","90_20760","85_19587","80_18605"
"62234","MZ322022_0A_Fwd_35587","99_50719","95_22137","90_20760","85_19587","80_18605"
"62235","MF919510_0A_Fwd_34232","99_24607","95_22099","90_20760","85_19587","80_18605"
"62236","MG757166_0A_Fwd_35296","99_24664","95_22137","90_20760","85_19587","80_18605"
"62237","MK977699_0A_Fwd_36133","99_36107","95_22099","90_20760","85_19587","80_18605"
"62238","MG757157_0A_Fwd_35860","99_26740","95_24014","90_20760","85_19587","80_18605"
"62239","MH779499_0A_Fwd_35296","99_24664","95_22137","90_20760","85_19587","80_18605"
"62240","MW507129_0A_Fwd_36145","99_36107","95_22099","90_20760","85_19587","80_18605"
"62241","MK376962_0A_Fwd_35129","99_24607","95_22099","90_20760","85_19587","80_18605"
"62242","MK376962_0A_Rev_67343","99_32684","95_22100","90_20761","85_19588","80_18606"
"62243","MH779499_0A_Rev_68308","99_26749","95_24018","90_22550","85_19588","80_18606"
"62244","MG757166_0A_Rev_63806","99_26749","95_24018","90_22550","85_19588","80_18606"
"62245","MF919510_0A_Rev_65551","99_24608","95_22100","90_20761","85_19588","80_18606"
"62246","MZ322010_0A_Rev_64158","99_32684","95_22100","90_20761","85_19588","80_18606"
"62247","OQ709223_0A_Rev_15634","99_64177","95_50223","90_46206","85_19589","80_18607"
"62248","MZ322010_0A_Rev_15049","99_24610","95_22102","90_20763","85_19589","80_18607"
"62249","OR159651_0A_Rev_15328","99_57601","95_50223","90_46206","85_19589","80_18607"
"62250","MK376962_0A_Rev_15319","99_24610","95_22102","90_20763","85_19589","80_18607"
"62251","ON456333_0A_Rev_15328","99_57601","95_50223","90_46206","85_19589","80_18607"
"62252","MF919510_0A_Rev_14440","99_24610","95_22102","90_20763","85_19589","80_18607"
"62253","MH779499_0A_Rev_15507","99_24610","95_22102","90_20763","85_19589","80_18607"
"62254","MG757166_0A_Rev_15507","99_24610","95_22102","90_20763","85_19589","80_18607"
"62255","AY299121_0A_Fwd_28946","99_2078","95_2020","90_1995","85_1959","80_1934"
"62256","DQ777876_0A_Fwd_28338","99_2078","95_2020","90_1995","85_1959","80_1934"
"62257","MH536818_0A_Rev_25929","99_29417","95_26295","90_20765","85_19590","80_18608"
"62258","MN585966_0A_Rev_21452","99_31355","95_22104","90_20765","85_19590","80_18608"
"62259","MH153809_0A_Rev_20844","99_24615","95_22104","90_20765","85_19590","80_18608"
"62260","MH976507_0A_Rev_19785","99_31355","95_22104","90_20765","85_19590","80_18608"
"62261","MF919514_0A_Rev_20844","99_24615","95_22104","90_20765","85_19590","80_18608"
"62262","MH651166_0A_Fwd_50681","99_24618","95_22107","90_20766","85_19591","80_18609"
"62263","MW822146_0A_Fwd_51896","99_24618","95_22107","90_20766","85_19591","80_18609"
"62264","MZ322015_0A_Fwd_51191","99_24618","95_22107","90_20766","85_19591","80_18609"
"62265","MH976507_0A_Fwd_50449","99_24618","95_22107","90_20766","85_19591","80_18609"
"62266","MN329677_0A_Fwd_51963","99_24618","95_22107","90_20766","85_19591","80_18609"
"62267","MW924645_0A_Fwd_51323","99_24618","95_22107","90_20766","85_19591","80_18609"
"62268","ON081332_0A_Fwd_52339","99_24618","95_22107","90_20766","85_19591","80_18609"
"62269","MT498035_0A_Fwd_50960","99_31375","95_22107","90_20766","85_19591","80_18609"
"62270","OP172877_0A_Fwd_51325","99_31375","95_22107","90_20766","85_19591","80_18609"
"62271","MH976518_0A_Fwd_50068","99_24618","95_22107","90_20766","85_19591","80_18609"
"62272","MF919514_0A_Fwd_52112","99_24618","95_22107","90_20766","85_19591","80_18609"
"62273","MH153809_0A_Fwd_51821","99_24618","95_22107","90_20766","85_19591","80_18609"
"62274","MH976508_0A_Fwd_50043","99_24618","95_22107","90_20766","85_19591","80_18609"
"62275","MH976512_0A_Fwd_51404","99_31375","95_22107","90_20766","85_19591","80_18609"
"62276","OP434456_0A_Fwd_48941","99_24618","95_22107","90_20766","85_19591","80_18609"
"62277","MF919521_0A_Fwd_46967","99_24626","95_22112","90_20767","85_19592","80_18610"
"62278","MT553336_0A_Fwd_45336","99_43903","95_38642","90_20767","85_19592","80_18610"
"62279","MF919521_0A_Rev_49481","99_24630","95_22114","90_20768","85_19593","80_18611"
"62280","MK524503_0A_Rev_46611","99_24636","95_22118","90_20770","85_19594","80_18612"
"62281","ON456356_0A_Rev_46243","99_24636","95_22118","90_20770","85_19594","80_18612"
"62282","MF919526_0A_Rev_43497","99_24636","95_22118","90_20770","85_19594","80_18612"
"62283","MF919536_0A_Fwd_5758","99_24640","95_22120","90_20771","85_19595","80_18613"
"62284","MF919536_0A_Rev_11600","99_24641","95_22121","90_20772","85_19596","80_18614"
"62285","MN585974_0A_Rev_11440","99_33959","95_22121","90_20772","85_19596","80_18614"
"62286","MK494108_0A_Rev_11440","99_33959","95_22121","90_20772","85_19596","80_18614"
"62287","MN585994_0A_Rev_11466","99_33959","95_22121","90_20772","85_19596","80_18614"
"62288","MN310542_0A_Rev_11377","99_37965","95_22121","90_20772","85_19596","80_18614"
"62289","MF919536_0A_Rev_16326","99_24646","95_22124","90_20775","85_19597","80_18615"
"62290","MK977699_0A_Rev_41851","99_36105","95_22128","90_20778","85_19598","80_18616"
"62291","MW507129_0A_Rev_41863","99_36105","95_22128","90_20778","85_19598","80_18616"
"62292","MZ322022_0A_Rev_41305","99_50721","95_44502","90_41114","85_19598","80_18616"
"62293","MF919542_0A_Rev_41087","99_24651","95_22128","90_20778","85_19598","80_18616"
"62294","MH669013_0A_Rev_28637","99_24654","95_22129","90_20779","85_19599","80_18617"
"62295","MW507129_0A_Rev_29193","99_24654","95_22129","90_20779","85_19599","80_18617"
"62296","MZ322022_0A_Rev_28635","99_24654","95_22129","90_20779","85_19599","80_18617"
"62297","MF919542_0A_Rev_28417","99_24654","95_22129","90_20779","85_19599","80_18617"
"62298","MK977699_0A_Rev_29181","99_24654","95_22129","90_20779","85_19599","80_18617"
"62299","AB711120_0A_Fwd_38281","99_198","95_196","90_196","85_196","80_196"
"62300","AY299121_0A_Fwd_40491","99_2079","95_2021","90_1996","85_1960","80_1935"
"62301","MZ322022_0A_Rev_32313","99_30301","95_27076","90_20780","85_19600","80_5994"
"62302","MH669013_0A_Rev_32315","99_30301","95_27076","90_20780","85_19600","80_5994"
"62303","MK977699_0A_Rev_32859","99_30301","95_27076","90_20780","85_19600","80_5994"
"62304","MW507129_0A_Rev_32871","99_30301","95_27076","90_20780","85_19600","80_5994"
"62305","MF919542_0A_Rev_32095","99_24656","95_22130","90_20780","85_19600","80_5994"
"62306","MH669013_0A_Rev_34556","99_24657","95_22131","90_20781","85_19601","80_18618"
"62307","MK977699_0A_Rev_35100","99_36109","95_32001","90_20781","85_19601","80_18618"
"62308","OP867020_0A_Rev_35760","99_26736","95_22131","90_20781","85_19601","80_18618"
"62309","MH744424_0A_Rev_34538","99_30657","95_27379","90_20781","85_19601","80_18618"
"62310","MF919542_0A_Rev_34336","99_24657","95_22131","90_20781","85_19601","80_18618"
"62311","MG757157_0A_Rev_34827","99_26736","95_22131","90_20781","85_19601","80_18618"
"62312","MW507129_0A_Rev_35112","99_36109","95_32001","90_20781","85_19601","80_18618"
"62313","MZ322022_0A_Rev_34554","99_24657","95_22131","90_20781","85_19601","80_18618"
"62314","MZ322022_0A_Fwd_60569","99_50722","95_44503","90_20782","85_19602","80_18619"
"62315","MH669013_0A_Fwd_60481","99_30299","95_22132","90_20782","85_19602","80_18619"
"62316","MW507129_0A_Fwd_60665","99_30299","95_22132","90_20782","85_19602","80_18619"
"62317","MK977699_0A_Fwd_60362","99_30299","95_22132","90_20782","85_19602","80_18619"
"62318","MF919542_0A_Fwd_59555","99_24658","95_22132","90_20782","85_19602","80_18619"
"62319","OQ938585_0A_Rev_19918","99_64894","95_22133","90_20783","85_19603","80_18620"
"62320","MK977699_0A_Rev_19612","99_24659","95_22133","90_20783","85_19603","80_18620"
"62321","OR475250_0A_Rev_19949","99_64894","95_22133","90_20783","85_19603","80_18620"
"62322","MF919542_0A_Rev_18848","99_24659","95_22133","90_20783","85_19603","80_18620"
"62323","MW507129_0A_Rev_19624","99_24659","95_22133","90_20783","85_19603","80_18620"
"62324","OR475276_0A_Rev_19941","99_64894","95_22133","90_20783","85_19603","80_18620"
"62325","OR434026_0A_Rev_19929","99_64894","95_22133","90_20783","85_19603","80_18620"
"62326","PP978888_0A_Rev_19873","99_64894","95_22133","90_20783","85_19603","80_18620"
"62327","MH669013_0A_Rev_19068","99_30295","95_22133","90_20783","85_19603","80_18620"
"62328","MZ322022_0A_Rev_19066","99_30295","95_22133","90_20783","85_19603","80_18620"
"62329","MW507129_0A_Fwd_42008","99_24660","95_22134","90_20784","85_19604","80_18621"
"62330","MK977699_0A_Fwd_41996","99_24660","95_22134","90_20784","85_19604","80_18621"
"62331","MZ322022_0A_Fwd_41450","99_24660","95_22134","90_20784","85_19604","80_18621"
"62332","MH669013_0A_Fwd_41452","99_30296","95_27073","90_20784","85_19604","80_18621"
"62333","MF919542_0A_Fwd_41232","99_24660","95_22134","90_20784","85_19604","80_18621"
"62334","MF919542_0A_Rev_22619","99_24661","95_22135","90_20785","85_19605","80_5987"
"62335","MF919542_0A_Fwd_64975","99_24662","95_22136","90_20786","85_19606","80_18622"
"62336","MF919542_0A_Rev_42128","99_24666","95_22139","90_20788","85_19607","80_18623"
"62337","MK977699_0A_Rev_42892","99_30297","95_22139","90_20788","85_19607","80_18623"
"62338","MZ322022_0A_Rev_42346","99_30297","95_22139","90_20788","85_19607","80_18623"
"62339","MH669013_0A_Rev_42348","99_30297","95_22139","90_20788","85_19607","80_18623"
"62340","MW507129_0A_Rev_42904","99_30297","95_22139","90_20788","85_19607","80_18623"
"62341","MK977699_0A_Fwd_31398","99_36104","95_31998","90_20789","85_19608","80_18624"
"62342","MW507129_0A_Fwd_31410","99_36104","95_31998","90_20789","85_19608","80_18624"
"62343","MH669013_0A_Fwd_30854","99_30303","95_22140","90_20789","85_19608","80_18624"
"62344","MZ322022_0A_Fwd_30852","99_30303","95_22140","90_20789","85_19608","80_18624"
"62345","MF919542_0A_Fwd_30634","99_24667","95_22140","90_20789","85_19608","80_18624"
"62346","MF919542_0A_Fwd_45357","99_24668","95_22141","90_20790","85_19609","80_3770"
"62347","AY299121_0A_Rev_31254","99_2081","95_2022","90_1997","85_1961","80_1936"
"62348","OR966858_0A_Rev_30910","99_68724","95_2022","90_1997","85_1961","80_1936"
"62349","DQ777876_0A_Rev_30643","99_2081","95_2022","90_1997","85_1961","80_1936"
"62350","OP948730_0A_Rev_10940","99_62427","95_54291","90_1997","85_1961","80_1936"
"62351","MZ322022_0A_Fwd_17853","99_30294","95_27072","90_25321","85_19610","80_11535"
"62352","MH669013_0A_Fwd_17855","99_30294","95_27072","90_25321","85_19610","80_11535"
"62353","MW507129_0A_Fwd_18411","99_24669","95_22142","90_20791","85_19610","80_11535"
"62354","MF919542_0A_Fwd_17635","99_24669","95_22142","90_20791","85_19610","80_11535"
"62355","MK977699_0A_Fwd_18399","99_24669","95_22142","90_20791","85_19610","80_11535"
"62356","MK977699_0A_Rev_21757","99_24670","95_22143","90_20792","85_19611","80_18625"
"62357","MH669013_0A_Rev_21210","99_24670","95_22143","90_20792","85_19611","80_18625"
"62358","MZ322022_0A_Rev_21208","99_24670","95_22143","90_20792","85_19611","80_18625"
"62359","MF919542_0A_Rev_20993","99_24670","95_22143","90_20792","85_19611","80_18625"
"62360","MW507129_0A_Rev_21769","99_24670","95_22143","90_20792","85_19611","80_18625"
"62361","MF919542_0A_Fwd_50776","99_24672","95_22144","90_20793","85_19612","80_18626"
"62362","MZ322022_0A_Fwd_51754","99_50720","95_44501","90_20793","85_19612","80_18626"
"62363","MK977699_0A_Fwd_51719","99_24672","95_22144","90_20793","85_19612","80_18626"
"62364","MW507129_0A_Fwd_52039","99_24672","95_22144","90_20793","85_19612","80_18626"
"62365","MF939898_0A_Rev_34637","99_24673","95_22145","90_20794","85_19613","80_18627"
"62366","MT859305_0A_Rev_33715","99_24673","95_22145","90_20794","85_19613","80_18627"
"62367","MF939898_0A_Fwd_13365","99_24674","95_22146","90_20795","85_19614","80_18628"
"62368","MT859305_0A_Fwd_13364","99_24674","95_22146","90_20795","85_19614","80_18628"
"62369","MT859305_0A_Rev_753","99_24675","95_22147","90_20796","85_19615","80_18629"
"62370","MF939898_0A_Rev_782","99_24675","95_22147","90_20796","85_19615","80_18629"
"62371","MF939898_0A_Rev_19046","99_24676","95_22148","90_20797","85_19616","80_18630"
"62372","MT859305_0A_Rev_19036","99_24676","95_22148","90_20797","85_19616","80_18630"
"62373","MF939898_0A_Rev_31811","99_24677","95_22149","90_20798","85_19617","80_18631"
"62374","MF957259_0A_Rev_34500","99_24678","95_22150","90_20799","85_19618","80_18632"
"62375","MF959998_0A_Fwd_51732","99_24679","95_22151","90_20800","85_19619","80_18633"
"62376","OR352946_0A_Fwd_94740","99_2084","95_2024","90_1999","85_1962","80_1937"
"62377","OQ873415_0A_Fwd_81981","99_2084","95_2024","90_1999","85_1962","80_1937"
"62378","MZ311865_0A_Fwd_140443","99_2084","95_2024","90_1999","85_1962","80_1937"
"62379","OL770074_0A_Fwd_23857","99_2084","95_2024","90_1999","85_1962","80_1937"
"62380","OL960576_0A_Fwd_24393","99_11426","95_2024","90_1999","85_1962","80_1937"
"62381","OR352942_0A_Fwd_93151","99_65999","95_2024","90_1999","85_1962","80_1937"
"62382","PP434429_0A_Fwd_24900","99_2084","95_2024","90_1999","85_1962","80_1937"
"62383","MK524178_0A_Fwd_85296","99_2084","95_2024","90_1999","85_1962","80_1937"
"62384","OM982647_0A_Fwd_166547","99_11426","95_2024","90_1999","85_1962","80_1937"
"62385","OQ067374_0A_Fwd_97808","99_2084","95_2024","90_1999","85_1962","80_1937"
"62386","KP869104_0A_Fwd_42005","99_2084","95_2024","90_1999","85_1962","80_1937"
"62387","MK373775_0A_Fwd_24636","99_11426","95_2024","90_1999","85_1962","80_1937"
"62388","LR027387_0A_Fwd_58084","99_2084","95_2024","90_1999","85_1962","80_1937"
"62389","MK373778_0A_Fwd_24620","99_2084","95_2024","90_1999","85_1962","80_1937"
