contig_id	contig_length	n_genes	votu	genus_cluster	family_cluster	genomad_taxonomy	predicted_host	genomad_chromosome_score	genomad_plasmid_score	genomad_virus_score	genomad_n_uscg	genomad_n_plasmid_hallmarks	genomad_n_virus_hallmarks	genomad_marker_enrichment_c	genomad_marker_enrichment_p	genomad_marker_enrichment_v	checkv_quality	checkv_completeness	checkv_completeness_method	checkv_aai	checkv_aai_shared_fraction
3300025934.a:Ga0207686_10001977	11298	16	vOTU_016642	gc_010419	fc_000093	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0082	0.0121	0.9797	0	0	1	-15.7383	-13.1368	12.1813	Low-quality	24.11	AAI-based (medium-confidence)	44.25	44.99
3300025934.a:Ga0207686_10001989	11263	22	vOTU_016590	gc_000510	fc_000718	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0079	0.021	0.9711	0	0	3	-14.2902	-10.9037	10.7212	Low-quality	33.89	AAI-based (high-confidence)	100.0	94.6
3300025934.a:Ga0207686_10002021	11187	14	vOTU_016589	gc_001370	fc_000069	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0125	0.0243	0.9632	0	0	1	-13.2417	-15.0587	12.8285	Low-quality	22.44	AAI-based (high-confidence)	79.71	57.74
3300025934.a:Ga0207686_10002036	11146	20	vOTU_000170	gc_000043	fc_000052	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0076	0.0127	0.9797	0	0	1	-10.1107	-10.73	10.1107	Low-quality	20.07	AAI-based (high-confidence)	100.0	98.97
3300025934.a:Ga0207686_10002044	11122	10	vOTU_016609	gc_000032	fc_000018	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0088	0.014	0.9772	0	0	1	-5.088	-5.318	5.088	Low-quality	23.66	AAI-based (medium-confidence)	42.98	50.67
3300025934.a:Ga0207686_10002092	10999	15	vOTU_016694	gc_005488	fc_000011	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0077	0.0174	0.9749	0	0	3	-15.3013	-13.1054	12.7664	Low-quality	30.04	AAI-based (medium-confidence)	38.48	45.87
3300025934.a:Ga0207686_10002120	10921	15	vOTU_002206	gc_000246	fc_000035	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0164	0.019	0.9646	0	0	1	-26.9262	-23.3148	21.7495	Low-quality	19.83	AAI-based (high-confidence)	63.88	52.62
3300025934.a:Ga0207686_10002123	10912	19	vOTU_016604	gc_001718	fc_000027	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0065	0.011	0.9825	0	0	7	-27.3417	-25.3313	24.3772	Low-quality	16.74	AAI-based (high-confidence)	76.66	84.88
3300025934.a:Ga0207686_10002245	10612	13	vOTU_004907	gc_000877	fc_000008	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0175	0.0374	0.9452	0	0	2	-10.7457	-10.1166	10.0823	Low-quality	16.85	AAI-based (high-confidence)	59.59	56.86
3300025934.a:Ga0207686_10002353	10334	14	vOTU_016851	gc_004660	fc_000294	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0118	0.0265	0.9617	0	0	0	-11.4921	-10.6101	8.4567	Low-quality	8.47	HMM-based (lower-bound)	32.82	23.32
3300025934.a:Ga0207686_10002415	10177	19	vOTU_016850	gc_010395	fc_003624	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0089	0.0229	0.9682	0	0	2	-10.2645	-7.7783	7.6377	Low-quality	20.03	AAI-based (medium-confidence)	73.05	9.05
3300025934.a:Ga0207686_10002479	10021	15	vOTU_016792	gc_001671	fc_000035	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.008	0.013	0.979	0	0	3	-17.2496	-14.3882	14.1673	Low-quality	20.19	AAI-based (medium-confidence)	48.76	52.32
3300025934.a:Ga0207686_10002543	9903	10	vOTU_000706	gc_001857	fc_000382	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0088	0.0153	0.976	0	0	3	-13.5187	-11.3312	11.2015	Low-quality	26.71	AAI-based (medium-confidence)	44.97	52.17
3300025934.a:Ga0207686_10002544	9902	10	vOTU_000529	gc_000486	fc_000069	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0102	0.0147	0.9751	0	0	1	-12.8277	-14.704	9.1408	Low-quality	21.46	AAI-based (medium-confidence)	42.59	38.27
3300025934.a:Ga0207686_10002560	9887	12	vOTU_016816	gc_000006	fc_000041	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0235	0.0186	0.9579	0	0	4	-14.2475	-13.616	13.3595	Low-quality	21.9	AAI-based (high-confidence)	71.21	93.51
3300025934.a:Ga0207686_10002617	9767	14	vOTU_016814	gc_000027	fc_000003	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0087	0.0135	0.9778	0	0	3	-15.1676	-16.7043	14.5906	Low-quality	20.62	AAI-based (high-confidence)	97.37	98.2
3300025934.a:Ga0207686_10002632	9736	12	vOTU_001069	gc_000597	fc_000002	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0129	0.0201	0.9671	0	0	2	-9.5297	-8.1062	7.7447	Low-quality	25.28	AAI-based (medium-confidence)	45.74	53.44
3300025934.a:Ga0207686_10002655	9699	15	vOTU_003732	gc_005486	fc_000003	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0097	0.0182	0.9721	0	0	1	-20.1047	-18.9101	17.2074	Low-quality	20.48	AAI-based (high-confidence)	92.94	97.47
3300025934.a:Ga0207686_10002669	9681	10	vOTU_016641	gc_000421	fc_000006	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0066	0.012	0.9814	0	0	2	-12.8808	-11.6621	11.5787	Low-quality	23.43	AAI-based (high-confidence)	74.99	44.62
3300025934.a:Ga0207686_10002711	9609	23	vOTU_016719	gc_010413	fc_003628	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0179	0.025	0.9572	0	0	1	-12.9976	-8.0949	8.0885	Low-quality	4.95	HMM-based (lower-bound)	40.8	10.48
3300025934.a:Ga0207686_10002763	9505	15	vOTU_016614	gc_010423	fc_003633	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0132	0.0228	0.964	0	0	1	-6.0112	-5.0138	4.407	Low-quality	9.78	AAI-based (medium-confidence)	52.81	67.05
3300025934.a:Ga0207686_10002809	9420	11	vOTU_000145	gc_000004	fc_000005	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0091	0.0143	0.9766	0	0	4	-15.1038	-10.7214	10.1251	Low-quality	13.41	AAI-based (medium-confidence)	45.95	40.49
3300025934.a:Ga0207686_10002890	9260	9	vOTU_000706	gc_001857	fc_000382	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0092	0.0155	0.9754	0	0	3	-11.8004	-9.6129	9.4832	Low-quality	24.98	AAI-based (medium-confidence)	44.97	55.96
3300025934.a:Ga0207686_10002953	9163	10	vOTU_016603	gc_000385	fc_000430	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0084	0.0204	0.9712	0	0	1	-13.971	-11.4821	9.9071	Low-quality	21.65	AAI-based (high-confidence)	95.2	100.0
3300025934.a:Ga0207686_10002962	9153	11	vOTU_016599	gc_001074	fc_000016	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0096	0.0257	0.9647	0	0	4	-10.6499	-7.9433	7.0875	Low-quality	19.6	AAI-based (medium-confidence)	46.65	55.21
3300025934.a:Ga0207686_10003113	8928	11	vOTU_000338	gc_000209	fc_000197	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0151	0.0407	0.9442	0	0	2	-12.2508	-6.4771	6.3591	Low-quality	11.16	HMM-based (lower-bound)	22.8	28.67
3300025934.a:Ga0207686_10003127	8905	20	vOTU_016837	gc_000822	fc_000003	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0149	0.0209	0.9642	0	0	1	-14.4062	-10.3952	10.2673	Low-quality	18.22	AAI-based (medium-confidence)	48.26	54.34
3300025934.a:Ga0207686_10003197	8812	13	vOTU_016622	gc_000281	fc_000006	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0079	0.0139	0.9782	0	0	2	-14.104	-14.6582	11.7293	Low-quality	22.19	AAI-based (high-confidence)	59.58	74.12
3300025934.a:Ga0207686_10003372	8578	8	vOTU_016639	gc_000442	fc_000006	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0124	0.0149	0.9727	0	0	2	-15.7852	-12.9425	12.0747	Low-quality	20.68	AAI-based (medium-confidence)	46.78	85.53
3300025934.a:Ga0207686_10003401	8542	11	vOTU_016813	gc_000205	fc_000008	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0084	0.0128	0.9788	0	0	1	-10.6618	-10.214	10.0911	Low-quality	13.59	AAI-based (high-confidence)	90.76	77.36
3300025934.a:Ga0207686_10003425	8516	12	vOTU_016634	gc_000060	fc_000083	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0198	0.0339	0.9464	0	0	1	-11.1114	-10.1456	9.7424	Low-quality	20.58	AAI-based (medium-confidence)	56.66	77.35
3300025934.a:Ga0207686_10003477	8461	10	vOTU_016586	gc_003125	fc_000051	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0069	0.0114	0.9817	0	0	2	-12.9596	-11.5034	11.2575	Low-quality	23.01	AAI-based (medium-confidence)	51.14	48.11
3300025934.a:Ga0207686_10003525	8404	9	vOTU_016645	gc_000016	fc_000141			0.0146	0.0161	0.9693	0	0	3	-10.2127	-10.5392	10.2127	Low-quality	15.53	AAI-based (medium-confidence)	30.68	50.4
3300025934.a:Ga0207686_10003594	8311	11	vOTU_016648	gc_001139	fc_000352	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0206	0.0205	0.9589	0	0	1	-12.7838	-11.6888	11.3981	Low-quality	16.25	AAI-based (medium-confidence)	48.04	77.43
3300025934.a:Ga0207686_10003712	8187	10	vOTU_016596	gc_000109	fc_000035	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0076	0.0138	0.9786	0	0	3	-8.3166	-6.0279	5.9679	Low-quality	15.26	AAI-based (high-confidence)	70.69	43.84
3300025934.a:Ga0207686_10003812	8087	11	vOTU_016701	gc_000027	fc_000003	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0071	0.0114	0.9815	0	0	2	-13.6111	-11.188	10.8505	Low-quality	17.8	AAI-based (high-confidence)	60.97	82.45
3300025934.a:Ga0207686_10003876	8025	12	vOTU_016852	gc_000281	fc_000006	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0075	0.0133	0.9793	0	0	2	-10.8676	-10.9414	8.4789	Low-quality	20.21	AAI-based (high-confidence)	67.3	75.83
3300025934.a:Ga0207686_10003998	7914	14	vOTU_016820	gc_000035	fc_000052	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0068	0.0121	0.9811	0	0	3	-18.094	-16.9076	16.5221	Low-quality	14.26	AAI-based (high-confidence)	60.27	88.4
3300025934.a:Ga0207686_10004161	7766	10	vOTU_016643	gc_000694	fc_000007	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0065	0.0105	0.9831	0	0	3	-15.4645	-15.4645	15.4645	Low-quality	14.47	AAI-based (medium-confidence)	43.53	53.88
3300025934.a:Ga0207686_10004190	7735	9	vOTU_016580	gc_000426	fc_000069	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0092	0.0259	0.9649	0	0	1	-8.508	-8.7946	8.508	Low-quality	16.35	AAI-based (medium-confidence)	71.2	21.67
3300025934.a:Ga0207686_10004256	7673	10	vOTU_001520	gc_000160	fc_000064	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0063	0.0109	0.9828	0	0	2	-18.46	-14.127	13.4033	Low-quality	10.56	AAI-based (medium-confidence)	43.08	26.15
3300025934.a:Ga0207686_10004272	7659	14	vOTU_016606	gc_005487	fc_000005	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0076	0.0213	0.9711	0	0	6	-14.4037	-14.3848	12.4696	Low-quality	12.88	AAI-based (medium-confidence)	47.18	53.58
3300025934.a:Ga0207686_10004313	7626	9	vOTU_001161	gc_000004	fc_000005	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0066	0.0123	0.9811	0	0	5	-17.1454	-12.5559	11.376	Low-quality	11.19	AAI-based (medium-confidence)	43.56	62.07
3300025934.a:Ga0207686_10004333	7603	10	vOTU_016582	gc_001060	fc_000069	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0068	0.0113	0.9819	0	0	1	-10.2996	-10.337	10.2996	Low-quality	15.93	AAI-based (high-confidence)	75.07	77.72
3300025934.a:Ga0207686_10004421	7540	9	vOTU_016608	gc_000114	fc_000130	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0104	0.0161	0.9735	0	0	1	-5.1594	-5.823	4.5585	Low-quality	15.78	AAI-based (high-confidence)	64.06	94.55
3300025934.a:Ga0207686_10004464	7496	17	vOTU_016692	gc_010437	fc_000152	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0088	0.0241	0.967	0	0	2	-16.3746	-12.0573	11.9966	Low-quality	4.64	HMM-based (lower-bound)	31.12	36.81
3300025934.a:Ga0207686_10004470	7491	9	vOTU_016687	gc_000569	fc_000005	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0072	0.0149	0.9779	0	0	5	-15.9952	-10.3358	9.181	Low-quality	14.92	AAI-based (high-confidence)	56.03	73.37
3300025934.a:Ga0207686_10004560	7424	11	vOTU_016805	gc_000514	fc_000055	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0079	0.0145	0.9776	0	0	4	-12.2903	-9.4605	8.9128	Low-quality	15.71	AAI-based (medium-confidence)	50.86	66.61
3300025934.a:Ga0207686_10004746	7290	11	vOTU_016802	gc_010401	fc_000042	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0104	0.0212	0.9684	0	0	4	-8.2947	-9.548	8.0072	Low-quality	9.4	HMM-based (lower-bound)	34.04	36.14
3300025934.a:Ga0207686_10004762	7279	11	vOTU_000976	gc_000024	fc_000006	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0069	0.0122	0.9809	0	0	3	-12.5736	-11.8288	11.7593	Low-quality	18.54	AAI-based (high-confidence)	67.4	88.19
3300025934.a:Ga0207686_10004852	7229	17	vOTU_016818	gc_005011	fc_000214	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0117	0.042	0.9463	0	0	1	-11.4185	-7.0109	6.879	Low-quality	6.61	HMM-based (lower-bound)	40.85	27.89
3300025934.a:Ga0207686_10004905	7197	13	vOTU_016809	gc_003379	fc_000066	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0069	0.0126	0.9806	0	0	1	-13.1804	-11.7952	10.8657	Low-quality	9.46	AAI-based (medium-confidence)	52.62	43.86
3300025934.a:Ga0207686_10004964	7162	13	vOTU_000087	gc_000041	fc_000006	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0089	0.0137	0.9774	0	0	3	-10.2798	-10.3899	10.2798	Low-quality	15.09	AAI-based (high-confidence)	54.79	79.33
3300025934.a:Ga0207686_10004972	7158	10	vOTU_000995	gc_000729	fc_000009	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0077	0.015	0.9774	0	0	1	-7.9301	-6.7726	5.914	Low-quality	19.62	AAI-based (high-confidence)	58.36	62.0
3300025934.a:Ga0207686_10004991	7142	8	vOTU_016644	gc_003705	fc_000003	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0078	0.0118	0.9804	0	0	1	-10.2636	-10.997	9.6866	Low-quality	14.85	AAI-based (medium-confidence)	57.2	33.85
3300025934.a:Ga0207686_10005044	7104	8	vOTU_016607	gc_000215	fc_000007	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0089	0.0119	0.9791	0	0	2	-15.2769	-13.0345	12.8973	Low-quality	13.99	AAI-based (medium-confidence)	45.9	48.74
3300025934.a:Ga0207686_10005117	7051	8	vOTU_000001	gc_000006	fc_000041	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0071	0.011	0.9818	0	0	3	-10.9704	-9.9583	9.9277	Low-quality	17.57	AAI-based (high-confidence)	59.01	89.37
3300025934.a:Ga0207686_10005173	7009	10	vOTU_016703	gc_000009	fc_000005	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0068	0.0136	0.9796	0	0	2	-14.1914	-10.7893	10.7344	Low-quality	14.83	AAI-based (medium-confidence)	48.75	75.91
3300025934.a:Ga0207686_10005180	7004	10	vOTU_016704	gc_000252	fc_000013	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0083	0.0124	0.9793	0	0	1	-7.4976	-6.5756	6.4933	Low-quality	5.94	AAI-based (medium-confidence)	51.26	85.3
3300025934.a:Ga0207686_10005238	6962	12	vOTU_016848	gc_001349	fc_000051	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0106	0.0874	0.9021	0	0	1	-8.3838	-5.991	5.9731	Low-quality	4.54	HMM-based (lower-bound)	63.0	19.39
3300025934.a:Ga0207686_10005480	6809	10	vOTU_003780	gc_010407	fc_000244	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0093	0.0147	0.976	0	0	2	-6.9523	-7.5955	6.0817	Low-quality	9.54	HMM-based (lower-bound)	40.01	44.28
3300025934.a:Ga0207686_10005701	6676	8	vOTU_005087	gc_000035	fc_000052	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0062	0.0103	0.9835	0	0	3	-14.6067	-13.4434	13.2133	Low-quality	12.02	AAI-based (high-confidence)	90.71	100.0
3300025934.a:Ga0207686_10005929	6557	11	vOTU_016611	gc_003360	fc_000170	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0088	0.0144	0.9767	0	0	1	-5.1188	-5.2466	5.1188	Low-quality	4.44	AAI-based (high-confidence)	58.5	35.24
3300025934.a:Ga0207686_10005940	6554	11	vOTU_016581	gc_003405	fc_000090	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0138	0.0235	0.9628	0	0	3	-9.6432	-8.3474	7.5792	Low-quality	15.72	HMM-based (lower-bound)	43.64	31.74
3300025934.a:Ga0207686_10006130	6458	11	vOTU_016853	gc_000492	fc_000017	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0065	0.0111	0.9824	0	0	3	-14.5062	-13.4396	13.104	Low-quality	13.6	AAI-based (medium-confidence)	65.04	27.25
3300025934.a:Ga0207686_10006346	6362	12	vOTU_016618	gc_010416	fc_003630	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0111	0.0797	0.9092	0	0	1	-8.1723	-6.342	5.8118	Low-quality	9.26	HMM-based (lower-bound)	63.5	16.88
3300025934.a:Ga0207686_10006388	6343	4	vOTU_000924	gc_001298	fc_000154	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.007	0.0136	0.9794	0	0	2	-9.0601	-5.8019	5.6701	Low-quality	10.79	AAI-based (medium-confidence)	27.69	92.53
3300025934.a:Ga0207686_10006642	6235	6	vOTU_000913	gc_000003	fc_000001	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0066	0.0106	0.9828	0	0	1	-8.4786	-8.8504	8.4786	Low-quality	10.4	AAI-based (high-confidence)	64.02	60.69
3300025934.a:Ga0207686_10006668	6227	8	vOTU_000001	gc_000006	fc_000041	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0068	0.0112	0.9819	0	0	1	-12.9091	-9.2647	8.6174	Low-quality	14.21	AAI-based (high-confidence)	56.99	67.09
3300025934.a:Ga0207686_10006729	6192	10	vOTU_016698	gc_000822	fc_000003	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0079	0.0134	0.9787	0	0	1	-12.0167	-13.1045	10.7891	Low-quality	12.37	AAI-based (high-confidence)	52.67	68.72
3300025934.a:Ga0207686_10006756	6178	13	vOTU_016693	gc_010436	fc_000316	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0073	0.0125	0.9802	0	0	1	-6.8702	-6.881	6.8702	Low-quality	8.68	AAI-based (high-confidence)	86.0	98.22
3300025934.a:Ga0207686_10007106	6024	7	vOTU_016625	gc_005074	fc_000055	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0068	0.013	0.9801	0	0	1	-8.9574	-8.5324	8.3268	Low-quality	11.94	AAI-based (high-confidence)	75.87	57.47
3300025934.a:Ga0207686_10007117	6018	8	vOTU_000077	gc_000009	fc_000005	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0065	0.011	0.9825	0	0	3	-12.2364	-9.2326	9.2326	Low-quality	11.7	AAI-based (medium-confidence)	62.41	38.75
3300025934.a:Ga0207686_10007312	5944	13	vOTU_016591	gc_000041	fc_000006	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0082	0.0132	0.9786	0	0	1	-8.5691	-8.6509	8.5691	Low-quality	12.62	AAI-based (high-confidence)	52.91	82.48
3300025934.a:Ga0207686_10007441	5894	12	vOTU_016597	gc_000246	fc_000035	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0086	0.0142	0.9772	0	0	2	-17.9233	-17.5044	15.5928	Low-quality	10.7	AAI-based (high-confidence)	55.62	73.12
3300025934.a:Ga0207686_10007655	5820	9	vOTU_016856	gc_001272	fc_000051	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0081	0.0144	0.9774	0	0	2	-10.7273	-10.1994	10.0376	Low-quality	15.38	AAI-based (medium-confidence)	40.0	79.18
3300025934.a:Ga0207686_10007723	5798	5	vOTU_003636	gc_000015	fc_000018	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0093	0.0141	0.9766	0	0	3	-5.1205	-5.2461	5.1205	Low-quality	12.49	AAI-based (high-confidence)	99.75	98.25
3300025934.a:Ga0207686_10007799	5770	6	vOTU_016617	gc_000007	fc_000011	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0086	0.0137	0.9778	0	0	1	-8.5704	-8.6484	8.5704	Low-quality	13.53	AAI-based (high-confidence)	73.58	88.48
3300025934.a:Ga0207686_10007815	5765	10	vOTU_016807	gc_000823	fc_000003	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0069	0.0115	0.9816	0	0	3	-8.2031	-9.4056	8.2031	Low-quality	11.88	AAI-based (high-confidence)	60.35	74.25
3300025934.a:Ga0207686_10008206	5635	8	vOTU_002366	gc_005059	fc_000086	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0245	0.0346	0.9409	0	0	3	-3.326	-7.1311	3.326	Low-quality	4.87	HMM-based (lower-bound)	40.05	31.44
3300025934.a:Ga0207686_10008209	5634	8	vOTU_001156	gc_005045	fc_000051	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0106	0.0195	0.9699	0	0	1	-5.1281	-5.2275	5.1281	Low-quality	9.11	AAI-based (high-confidence)	75.5	66.37
3300025934.a:Ga0207686_10008424	5566	10	vOTU_003694	gc_001005	fc_000445	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0067	0.0123	0.9811	0	0	2	-15.1343	-13.3832	12.7519	Low-quality	14.65	AAI-based (medium-confidence)	50.04	53.25
3300025934.a:Ga0207686_10008576	5524	11	vOTU_003745	gc_005484	fc_000639	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0073	0.0162	0.9764	0	0	4	-14.9563	-13.2425	12.8676	Low-quality	9.16	HMM-based (lower-bound)	43.88	25.83
3300025934.a:Ga0207686_10008759	5466	5	vOTU_002054	gc_000041	fc_000006	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0084	0.0128	0.9788	0	0	1	-7.1395	-7.0696	6.4064	Low-quality	11.27	AAI-based (medium-confidence)	43.81	66.87
3300025934.a:Ga0207686_10009083	5387	5	vOTU_016800	gc_010402	fc_000617	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0112	0.0234	0.9654	0	0	1	-4.2111	-2.9745	2.9745	Low-quality	8.51	AAI-based (medium-confidence)	41.8	48.36
3300025934.a:Ga0207686_10009171	5366	10	vOTU_016795	gc_000884	fc_000072	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0085	0.0185	0.973	0	0	1	-6.2968	-4.6586	4.3666	Low-quality	6.5	AAI-based (high-confidence)	68.99	48.77
3300025934.a:Ga0207686_10009192	5360	6	vOTU_003055	gc_003546	fc_000347	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0097	0.0143	0.976	0	0	1	-5.1507	-5.166	5.1507	Not-determined			32.4	24.68
3300025934.a:Ga0207686_10009326	5321	10	vOTU_003708	gc_002541	fc_000736	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0128	0.0308	0.9564	0	0	2	-6.6109	-4.311	4.2995	Low-quality	8.9	AAI-based (high-confidence)	53.16	69.18
3300025934.a:Ga0207686_10009425	5296	12	vOTU_016635	gc_000823	fc_000003	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0078	0.0147	0.9776	0	0	1	-5.1535	-5.1584	5.1535	Low-quality	10.83	AAI-based (high-confidence)	67.21	91.01
3300025934.a:Ga0207686_10009533	5267	8	vOTU_016613	gc_002626	fc_000018	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0068	0.0112	0.982	0	0	1	-11.709	-10.2006	8.8846	Low-quality	6.97	HMM-based (lower-bound)	36.7	33.98
3300025934.a:Ga0207686_10010044	5150	7	vOTU_016707	gc_000091	fc_000003	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes		0.0099	0.014	0.9761	0	0	4	-10.795	-10.7533	8.9175	Low-quality	10.37	HMM-based (lower-bound)	29.1	39.4
