Contig,Study,Viral_Taxonomy,Nucleic_Acid_Type,GTDB_Host,Eukaryotic_or_Prokaryotic_Virus,Length,Circular_Status,Prophage,Prophage_Boundaries,VirSorter_Category,VirFinder_Score,VirFinder_pvalue,Total_Contig_Proteins,CAT_data,No_BUSCO_Hits,BUSCO_Ratio,No_VPF_Hits
Broecker_Sample_ID29-1191-0_NODE_1524_length_8276_cov_8.926043,Broecker_2016,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,8276,NA,No,NA,1,8.17E-01,2.57E-02,12,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:60.5|186802_Clostridiales:60.5|unclassified|unclassified|unclassified,0,0,40
SRR2298023_NODE_8_length_7657_cov_32.455275,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Firmicutes;f__Enterococcaceae,Bacteriophage,7657,NA,No,NA,1,0.5586562,0.07518797,13,13,0,0,44
SRR2298024_NODE_4_length_5926_cov_625.495657,Kranma_2015,Microviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5871,circular,No,NA,1,0.92051888,0.011035654,10,8,0,0,9
SRR2298102_NODE_3_length_30300_cov_39.239742,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Proteobacteria;f__Enterobacteriaceae,Bacteriophage,14373,NA,Yes,952-15325,5,0.9276492,0.010186757,49,49,0,0,89
SRR2298102_NODE_6_length_5700_cov_13.869973,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5700,NA,NA,NA,NA,0.939504,0.008731506,13,8,0,0,25
SRR2298175_NODE_1_length_6073_cov_10615.407777,Kranma_2015,Microviridae,ssDNA,Bacteria;p__Bacteroidota;f__Bacteroidaceae,Bacteriophage,6073,NA,NA,NA,NA,0.9592952,0.006427359,11,4,0,0,9
SRR2298290_NODE_2_length_14552_cov_30.669242,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,14552,NA,NA,NA,NA,0.9200612,0.011156925,37,28,0,0,67
SRR2298290_NODE_5_length_7784_cov_73.946436,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,7784,NA,NA,NA,NA,0.7081687,0.044263886,4,3,0,0,16
SRR2298290_NODE_6_length_7745_cov_39.088947,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,7745,NA,NA,NA,NA,0.9348857,0.009337861,15,13,0,0,36
SRR2298290_NODE_9_length_5430_cov_39.161302,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5430,NA,NA,NA,NA,0.9177827,0.011520737,4,2,0,0,9
SRR2298382_NODE_10_length_5000_cov_10.418402,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Proteobacteria;f__Neisseriaceae,Bacteriophage,5000,NA,No,NA,2,0.371076292,0.130244967,7,7,0,0,24
SRR2298382_NODE_6_length_5886_cov_17.038244,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Proteobacteria;f__Enterobacteriaceae,Bacteriophage,5886,NA,NA,NA,NA,0.918977823,0.011278196,11,9,0,0,18
SRR2298470_NODE_3_length_6608_cov_545.461163,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6608,NA,NA,NA,NA,0.98675389,2.79E-03,9,9,0,0,39
SRR2298470_NODE_6_length_5176_cov_365.999414,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5176,NA,NA,NA,NA,0.95609803,6.55E-03,11,11,0,0,28
SRR2298470_NODE_7_length_5120_cov_267.086673,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5120,NA,NA,NA,NA,0.88809898,1.49E-02,6,3,0,0,9
SRR2298525_NODE_11_length_5676_cov_53.336951,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5676,NA,NA,NA,NA,0.9912046,0.002061606,8,8,0,0,18
SRR2298525_NODE_12_length_5517_cov_37.452032,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5517,NA,NA,NA,NA,0.961469317,0.006184817,14,12,0,0,16
SRR2298525_NODE_13_length_5508_cov_40.996516,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5508,NA,NA,NA,NA,0.987502733,0.002789231,10,5,0,0,16
SRR2298526_NODE_11_length_6278_cov_41.446248,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6278,NA,NA,NA,NA,0.972115865,0.004729566,14,13,0,0,61
SRR2298526_NODE_14_length_5982_cov_41.390248,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5982,NA,NA,NA,NA,0.978179975,0.003759399,13,9,0,0,23
SRR2298527_NODE_2_length_10403_cov_1364.413510,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Oscillospiraceae,Bacteriophage,10363,circular,No,NA,2,0.663921425,0.052510308,13,10,0,0,19
SRR2298528_NODE_1_length_12112_cov_3661.478145,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Bacteroidaceae,Bacteriophage,12112,NA,NA,NA,NA,0.9273979,0.010186757,15,11,0,0,16
SRR2298528_NODE_2_length_6337_cov_150.805476,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Bacteroidaceae,Bacteriophage,6337,NA,NA,NA,NA,0.9431849,0.00788261,7,6,0,0,5
SRR2298531_NODE_2_length_10626_cov_24.091760,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Proteobacteria;f__Neisseriaceae,Bacteriophage,10626,NA,NA,NA,NA,0.99344407,0.001576522,22,5,0,0,27
SRR2298539_NODE_1_length_13767_cov_212.730455,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Ruminococcaceae,Bacteriophage,13767,NA,NA,NA,NA,0.94748969,0.007276255,24,10,0,0,62
SRR2298540_NODE_10_length_6360_cov_183.979064,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Bacteroidaceae,Bacteriophage,6305,circular,No,NA,1,0.299953323,0.161896677,9,3,0,0,2
SRR2298540_NODE_6_length_8986_cov_31.699138,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,8986,NA,No,NA,2,0.82205862,0.02510308,11,8,0,0,46
SRR2298542_NODE_12_length_5699_cov_18.880581,Kranma_2015,Microviridae,ssDNA,Bacteria;p__Bacteroidota;f__Bacteroidaceae,Bacteriophage,5699,NA,No,NA,1,0.7652062,0.034077128,8,4,0,0,7
SRR2298545_NODE_3_length_30177_cov_204.733749,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Lachnospiraceae,Bacteriophage,30177,NA,No,NA,2,0.471492916,0.095804026,44,38,0,0,118
SRR2298548_NODE_3_length_6946_cov_11.715426,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Eubacteriaceae,Bacteriophage,6946,NA,No,NA,1,0.07327182,0.388188212,11,10,0,0,35
SRR2298549_NODE_1_length_9121_cov_257.868409,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,9121,NA,NA,NA,NA,0.9392136,0.008731506,10,6,0,0,14
SRR2298551_NODE_1_length_5427_cov_130.405249,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Firmicutes;f__Lactobacillaceae,Bacteriophage,5427,NA,NA,NA,NA,0.92567402,0.010429299,10,10,0,0,56
SRR2298552_NODE_2_length_6891_cov_204.606056,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6891,NA,NA,NA,NA,0.71988115,0.04220228,13,3,1,0.076923077,20
SRR2298553_NODE_10_length_5362_cov_23.914453,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5362,NA,NA,NA,NA,0.94228031,0.008246423,16,15,0,0,27
SRR2298553_NODE_8_length_6369_cov_31.873773,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Clostridiaceae,Bacteriophage,6369,NA,NA,NA,NA,0.93777487,0.008731506,5,5,0,0,25
SRR2298557_NODE_3_length_7371_cov_475.543193,Kranma_2015,Microviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,7371,NA,NA,NA,NA,0.3228306,0.152073733,7,7,0,0,18
SRR2298557_NODE_4_length_6241_cov_1222.881183,Kranma_2015,Microviridae,ssDNA,Bacteria;p__Bacteroidota;f__Bacteroidaceae,Bacteriophage,6241,NA,NA,NA,NA,0.9536018,0.006791172,9,4,0,0,9
SRR2298558_NODE_11_length_4984_cov_56.984581,Kranma_2015,Microviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,4929,circular,No,NA,1,0.91537944,0.011763279,8,7,0,0,12
SRR2298561_NODE_10_length_7639_cov_21.064610,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,7639,NA,NA,NA,NA,0.96236645,0.005821004,10,8,0,0,24
SRR2298561_NODE_14_length_6477_cov_15.813454,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6477,NA,NA,NA,NA,0.98399038,0.003274315,9,6,0,0,31
SRR2298562_NODE_1_length_17289_cov_93.658640,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,17289,NA,NA,NA,NA,0.930122639,0.009701674,11,11,0,0,17
SRR2298563_NODE_3_length_15224_cov_57.761487,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Firmicutes_A;f__Ruminococcaceae,Bacteriophage,7355,NA,Yes,2980-10335,4,0.90605099,0.012733447,18,18,0,0,55
SRR2298567_NODE_11_length_5496_cov_359.516817,Kranma_2015,Microviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5441,circular,No,NA,1,0.517167948,0.083555663,6,3,0,0,5
SRR2298568_NODE_11_length_5754_cov_21.352167,Kranma_2015,Microviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5754,NA,NA,NA,NA,0.47916618,9.40E-02,7,3,0,0,5
SRR2298569_NODE_5_length_6020_cov_72.798156,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6020,NA,NA,NA,NA,0.9784362,0.003759398,15,8,0,0,32
SRR2298570_NODE_11_length_7398_cov_90.699850,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,Bacteriophage,7398,NA,NA,NA,NA,0.9736369,4.49E-03,5,3,0,0,3
SRR2298570_NODE_18_length_5568_cov_12.415200,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5568,NA,NA,NA,NA,0.99596288,1.33E-03,3,1,0,0,9
SRR2298578_NODE_9_length_7267_cov_597.098170,Kranma_2015,Picornaviridae,RNA,Host Not Assigned or not a prokaryotic virus,Eukaryotic_Virus,7267,NA,NA,NA,NA,0.7650026,0.034077128,2,Viruses: 1.00|NA|NA|Picornavirales: 1.00|Picornaviridae: 1.00|Parechovirus: 1.00,0,0,1
SRR2298579_NODE_1_length_5238_cov_1179.227089,Kranma_2015,Parvoviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Eukaryotic_Virus,5238,NA,NA,NA,NA,0.24928205,0.19003153,3,Viruses: 1.00|NA|NA|NA|Parvoviridae: 1.00|Bocaparvovirus: 1.00,0,0,18
SRR2298580_NODE_11_length_9020_cov_1182.286782,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Firmicutes;f__Lactobacillaceae,Bacteriophage,9020,NA,NA,NA,NA,0.91397282,0.011763279,18,18,0,0,32
SRR2298580_NODE_14_length_6383_cov_419.038875,Kranma_2015,Unassigned,dsDNA,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,Bacteriophage,6383,NA,NA,NA,NA,0.91401618,0.011763279,10,8,0,0,16
SRR2298580_NODE_22_length_5367_cov_176.826995,Kranma_2015,Microviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5312,circular,No,NA,1,0.15027718,0.268372544,8,7,0,0,11
SRR2298581_NODE_16_length_5732_cov_3725.805707,Kranma_2015,Microviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5677,circular,No,NA,1,0.9386836,0.008731506,8,6,0,0,10
SRR2298582_NODE_2_length_5715_cov_2103.090459,Kranma_2015,Microviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5715,NA,NA,NA,NA,0.3561338,0.13558089,7,6,0,0,14
SRR2298583_NODE_5_length_13052_cov_64.597907,Kranma_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,13052,NA,NA,NA,NA,0.85317756,0.020737327,7,5,0,0,54
SRR2298584_NODE_8_length_7078_cov_24.992738,Kranma_2015,Siphoviridae,dsDNA,Bacteria;p__Bacteroidota;f__Bacteroidaceae,Bacteriophage,7078,NA,NA,NA,NA,0.97911988,0.003638128,7,7,0,0,13
SRR2298587_NODE_3_length_5158_cov_1446.269253,Kranma_2015,Microviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5158,NA,NA,NA,NA,0.9707807,5.09E-03,8,3,0,0,18
Lim_Twin_A1_NODE_10_length_35514_cov_36.202165,Lim_2015,Unassigned,dsDNA,Bacteria;p__Firmicutes_C;f__Veillonellaceae,Bacteriophage,35514,NA,No,NA,2,8.50E-01,2.15E-02,50,Bacteria:100.0|1239_Firmicutes:96.0|909932_Negativicutes:91.8|1843489_Veillonellales:89.1|31977_Veillonellaceae:89.1|29465_Veillonella:69.2|unclassified,0,0,141
Lim_Twin_A1_NODE_125_length_7399_cov_3.111661,Lim_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,7399,NA,No,NA,1,7.60E-01,3.52E-02,12,Bacteria:100.0|1239_Firmicutes:100.0|91061_Bacilli:100.0|1385_Bacillales:100.0|unclassified|unclassified|unclassified,0,0,18
Lim_Twin_A1_NODE_142_length_6583_cov_24.308086,Lim_2015,Unassigned,dsDNA,Bacteria;p__Proteobacteria;f__Burkholderiaceae,Bacteriophage,6583,Circular,No,NA,1,3.41E-01,1.42E-01,13,Bacteria:100.0|unclassified|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,13
Lim_Twin_A1_NODE_153_length_6014_cov_2.813997,Lim_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6014,NA,No,NA,1,1.14E-01,3.15E-01,9,Bacteria:100.0|1239_Firmicutes:94.0|526524_Erysipelotrichia:74.6|526525_Erysipelotrichales:74.6|128827_Erysipelotrichaceae:74.6|unclassified|unclassified,0,0,20
Lim_Twin_A1_NODE_154_length_5973_cov_4.960999,Lim_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5973,NA,No,NA,2,9.34E-01,9.34E-03,10,Bacteria:92.4|1239_Firmicutes:92.4|186801_Clostridia:86.4|186802_Clostridiales:86.4|NA:70.6|946234_Flavonifractor:70.6|292800_Flavonifractor plautii:70.6,0,0,10
Lim_Twin_A1_NODE_160_length_5793_cov_1340.112778,Lim_2015,Microviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5793,Circular,No,NA,1,7.66E-01,3.38E-02,6,Viruses:96.3|NA:96.3|NA:96.3|NA:96.3|10841_Microviridae:96.3|NA:96.3|1758150_Gokushovirus WZ-2015a:96.3,0,0,10
Lim_Twin_A1_NODE_17_length_23043_cov_28.613938,Lim_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,23043,NA,No,NA,2,7.60E-01,3.52E-02,33,Bacteria:79.2|1224_Proteobacteria:79.2|1236_Gammaproteobacteria:79.2|91347_Enterobacterales:78.2|543_Enterobacteriaceae:78.2|unclassified|unclassified,0,0,79
Lim_Twin_A1_NODE_185_length_5247_cov_2.552148,Lim_2015,Anelloviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Eukaryotic_Virus,5247,NA,No,NA,NA,9.75E-01,4.00E-03,4,Viruses:100.0|NA:100.0|NA:100.0|NA:100.0|687329_Anelloviridae:100.0|687332_Betatorquevirus:65.0|1535290_Torque teno mini virus ALA22:65.0,0,0,17
Lim_Twin_A1_NODE_347_length_2983_cov_224.262255,Lim_2015,Anelloviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Eukaryotic_Virus,2983,Circular,No,NA,NA,9.53E-01,5.58E-03,3,Viruses:100.0|NA:100.0|NA:100.0|NA:100.0|687329_Anelloviridae:100.0|unclassified|unclassified,0,0,10
Lim_Twin_A1_NODE_37_length_16465_cov_24.940262,Lim_2015,Unassigned,dsDNA,Bacteria;p__Proteobacteria;f__Enterobacteriaceae,Bacteriophage,16465,NA,No,NA,2,7.84E-01,3.08E-02,26,Bacteria:90.5|1224_Proteobacteria:90.5|1236_Gammaproteobacteria:90.5|91347_Enterobacterales:89.1|543_Enterobacteriaceae:89.1|561_Escherichia:56.5|unclassified,0,0,62
Lim_Twin_A1_NODE_402_length_2613_cov_35.254626,Lim_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,2613,Circular,No,NA,NA,6.00E-01,1.12E-01,3,Viruses:100.0|unclassified|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,1
Lim_Twin_A1_NODE_442_length_2400_cov_6.246370,Lim_2015,Circoviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Eukaryotic_Virus,2400,Circular,No,NA,NA,6.28E-01,9.96E-02,3,Viruses:100.0|unclassified|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,3
Lim_Twin_A1_NODE_472_length_2275_cov_11.060987,Lim_2015,Genomoviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Eukaryotic_Virus,2275,Circular,No,NA,NA,6.30E-01,9.89E-02,4,Viruses:100.0|NA:100.0|NA:100.0|NA:100.0|1910928_Genomoviridae:100.0|1542744_Gemycircularvirus:100.0|2016461_Giant panda associated gemycircularvirus:100.0,0,0,4
Lim_Twin_A1_NODE_474_length_2266_cov_4.753623,Lim_2015,Genomoviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Eukaryotic_Virus,2266,Circular,No,NA,NA,6.45E-01,9.30E-02,3,Viruses:100.0|NA:100.0|NA:100.0|NA:100.0|1910928_Genomoviridae:100.0|1985367_Gemykrogvirus:100.0|1985417_Caribou associated gemykrogvirus 1:55.8,0,0,2
Lim_Twin_A1_NODE_5_length_40189_cov_83.408242,Lim_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,40189,NA,No,NA,2,7.65E-01,3.41E-02,68,Bacteria:99.2|1239_Firmicutes:86.5|186801_Clostridia:53.9|186802_Clostridiales:53.9|unclassified|unclassified|unclassified,0,0,162
Lim_Twin_A1_NODE_56_length_12788_cov_5.074086,Lim_2015,Unassigned,dsDNA,Bacteria;p__Bacteroidota;f__Weeksellaceae,Bacteriophage,12788,NA,No,NA,2,7.30E-01,4.06E-02,12,Bacteria:100.0|976_Bacteroidetes:100.0|117743_Flavobacteriia:100.0|200644_Flavobacteriales:100.0|49546_Flavobacteriaceae:100.0|308865_Elizabethkingia:100.0|unclassified,0,0,24
Lim_Twin_A1_NODE_64_length_11790_cov_12.846180,Lim_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,11790,NA,No,NA,3,6.90E-01,4.78E-02,25,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|31979_Clostridiaceae:93.4|1485_Clostridium:93.4|unclassified,0,0,54
Lim_Twin_A1_NODE_657_length_1745_cov_5.275031,Lim_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,1745,Circular,No,NA,NA,8.82E-01,2.12E-02,3,Viruses:100.0|NA:100.0|NA:100.0|NA:100.0|NA:100.0|NA:100.0|1592082_Sewage-associated circular DNA virus-15:100.0,0,0,3
Lim_Twin_A1_NODE_7_length_38257_cov_13.379045,Lim_2015,Siphoviridae,dsDNA,Bacteria;p__Firmicutes;f__Erysipelotrichaceae,Bacteriophage,38257,NA,No,NA,1,9.77E-01,3.88E-03,53,Bacteria:75.9|1239_Firmicutes:69.9|91061_Bacilli:69.9|186826_Lactobacillales:69.9|1300_Streptococcaceae:69.9|1301_Streptococcus:69.9|unclassified,0,0,203
Lim_Twin_A1_NODE_71_length_11139_cov_33.357337,Lim_2015,Unassigned,dsDNA,Bacteria;p__Proteobacteria;f__Enterobacteriaceae,Bacteriophage,11139,NA,No,NA,2,9.77E-01,3.88E-03,21,Bacteria:74.8|1224_Proteobacteria:72.2|1236_Gammaproteobacteria:72.2|91347_Enterobacterales:72.2|543_Enterobacteriaceae:70.0|unclassified|unclassified,0,0,33
Lim_Twin_A1_NODE_8_length_37211_cov_81.618353,Lim_2015,Unassigned,dsDNA,Bacteria;p__Firmicutes_C;f__Veillonellaceae,Bacteriophage,37211,NA,No,NA,1,8.79E-01,1.66E-02,53,Bacteria:95.5|1239_Firmicutes:91.1|909932_Negativicutes:85.0|unclassified|unclassified|unclassified|unclassified,0,0,114
Lim_Twin_A1_NODE_9_length_37053_cov_172.542707,Lim_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,37053,NA,No,NA,2,6.92E-01,4.75E-02,53,Bacteria:95.2|1239_Firmicutes:95.2|186801_Clostridia:87.2|186802_Clostridiales:87.2|31979_Clostridiaceae:84.2|1485_Clostridium:78.5|unclassified,0,0,136
Lim_Twin_A2_NODE_108_length_7176_cov_207.870052,Lim_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,7176,NA,No,NA,1,9.13E-01,1.21E-02,9,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:72.4|186802_Clostridiales:72.4|31979_Clostridiaceae:72.4|1485_Clostridium:72.4|unclassified,0,0,53
Lim_Twin_A2_NODE_121_length_6845_cov_2.340218,Lim_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6845,NA,No,NA,2,9.30E-01,9.82E-03,9,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:92.6|186802_Clostridiales:92.6|186803_Lachnospiraceae:67.9|698776_Cellulosilyticum:67.9|29360_Cellulosilyticum lentocellum:67.9,0,0,20
Lim_Twin_A2_NODE_125_length_6718_cov_86.198149,Lim_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6718,NA,No,NA,2,9.84E-01,3.15E-03,15,Bacteria:100.0|1239_Firmicutes:100.0|909932_Negativicutes:100.0|1843489_Veillonellales:100.0|31977_Veillonellaceae:100.0|29465_Veillonella:100.0|248315_Veillonella rodentium:84.8,0,0,39
Lim_Twin_A2_NODE_146_length_6035_cov_2.514387,Lim_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,6035,NA,No,NA,2,9.32E-01,9.46E-03,12,Bacteria:100.0|1239_Firmicutes:88.0|186801_Clostridia:69.6|unclassified|unclassified|unclassified|unclassified,0,0,11
Lim_Twin_A2_NODE_150_length_5953_cov_27.954171,Lim_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5953,Circular,No,NA,1,7.56E-01,3.58E-02,9,Bacteria:100.0|976_Bacteroidetes:82.2|200643_Bacteroidia:82.2|171549_Bacteroidales:82.2|unclassified|unclassified|unclassified,0,0,5
Lim_Twin_A2_NODE_151_length_5937_cov_2.297590,Lim_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5937,NA,No,NA,2,7.16E-01,4.28E-02,13,Bacteria:100.0|1239_Firmicutes:91.6|186801_Clostridia:80.5|186802_Clostridiales:80.5|31979_Clostridiaceae:67.3|1485_Clostridium:67.3|29363_Clostridium paraputrificum:51.9,0,0,14
Lim_Twin_A2_NODE_166_length_5514_cov_2.777798,Lim_2015,Siphoviridae,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5514,NA,No,NA,1,3.25E-02,5.30E-01,5,Bacteria:100.0|1239_Firmicutes:100.0|186801_Clostridia:100.0|186802_Clostridiales:100.0|31979_Clostridiaceae:80.4|1485_Clostridium:80.4|1491_Clostridium botulinum:64.3,0,0,25
Lim_Twin_A2_NODE_181_length_5214_cov_1.189503,Lim_2015,Siphoviridae,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,5214,NA,No,NA,2,5.06E-02,4.50E-01,8,Bacteria:59.8|unclassified|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,10
Lim_Twin_A2_NODE_190_length_5065_cov_15.744836,Lim_2015,Polyomaviridae,dsDNA,Host Not Assigned or not a prokaryotic virus,Eukaryotic_Virus,5065,Circular,No,NA,NA,2.39E-01,1.95E-01,5,Viruses:100.0|NA:100.0|NA:100.0|NA:100.0|151341_Polyomaviridae:100.0|1891715_Deltapolyomavirus:50.6|1208309_Human polyomavirus 10:50.6,1,0.2,4
Lim_Twin_A2_NODE_2_length_41355_cov_36.108931,Lim_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,41355,NA,No,NA,1,7.76E-01,3.26E-02,55,Bacteria:99.0|1239_Firmicutes:89.2|91061_Bacilli:89.2|186826_Lactobacillales:89.2|1300_Streptococcaceae:89.2|1301_Streptococcus:89.2|1318_Streptococcus parasanguinis:52.1,0,0,200
Lim_Twin_A2_NODE_378_length_3044_cov_13.229002,Lim_2015,Anelloviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Eukaryotic_Virus,3044,Circular,No,NA,NA,9.84E-01,3.27E-03,2,Viruses:100.0|NA:100.0|NA:100.0|NA:100.0|687329_Anelloviridae:100.0|unclassified|unclassified,0,0,12
Lim_Twin_A2_NODE_583_length_2341_cov_10.946703,Lim_2015,Unassigned,dsDNA,Host Not Assigned or not a prokaryotic virus,Bacteriophage,2341,Circular,No,NA,NA,9.06E-01,1.52E-02,3,Viruses:100.0|unclassified|unclassified|unclassified|unclassified|unclassified|unclassified,0,0,0
Lim_Twin_A2_NODE_589_length_2315_cov_4.929159,Lim_2015,Genomoviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Eukaryotic_Virus,2315,Circular,No,NA,NA,3.22E-01,2.62E-01,4,Viruses:100.0|NA:100.0|NA:100.0|NA:100.0|1910928_Genomoviridae:100.0|1985367_Gemykrogvirus:100.0|unclassified,0,0,4
Lim_Twin_A2_NODE_594_length_2309_cov_9.597159,Lim_2015,Genomoviridae,ssDNA,Host Not Assigned or not a prokaryotic virus,Eukaryotic_Virus,2309,Circular,No,NA,NA,4.98E-01,1.57E-01,3,Viruses:100.0|NA:100.0|NA:100.0|NA:100.0|1910928_Genomoviridae:100.0|1542744_Gemycircularvirus:100.0|1519406_Sewage-associated gemycircularvirus 11:60.5,0,0,5
