"","Accession","Host","Description","Classification","Genome.Length..bp.","Jumbophage","molGC....","Molecule","Modification.Date","Number.CDS","Positive.Strand....","Negative.Strand....","Coding.Capacity...","Low.Coding.Capacity.Warning","tRNAs","Lowest.Taxa","Genus","Sub.family","Family","Order","Class","Phylum","Kingdom","Realm","Baltimore.Group","Genbank.Division","Isolation.Host..beware.inconsistent.and.nonsense.values.","X","gtdb_f","f_spor","newgtdb_Domain","hostspec_phage_spor","newgtdb_Phylum","newgtdb_Class","newgtdb_Order","sequence_id","predicted_label","p_temperate","p_virulent","host_phage_spor","sporulation","lifestyle","host_phyla","newgtdb_Phylum2","cluster","ref"
"6379","MH370383","Salmonella","Salmonella phage S137","Salmonella phage S137 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",50593,FALSE,"48.362","DNA","29-APR-2019",82,"69.5121951219512","30.4878048780488","90.9275986796592",NA,2,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Salmonella enterica serotype Enteritidis E2331",40870,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",24579,"temperate","0.9281081265348108","0.07189187346518916","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"6380","MH370384","Salmonella","Salmonella phage S138","Salmonella phage S138 Jerseyvirus Guernseyvirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",43119,FALSE,"49.614","DNA","29-APR-2019",62,"59.6774193548387","40.3225806451613","91.1732646861012",NA,1,"Jerseyvirus","Jerseyvirus","Guernseyvirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Salmonella enterica serotype Enteritidis P132344",40870,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",24578,"virulent","0.01715418257533876","0.9828458174246613","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"6381","MH370385","Salmonella","Salmonella phage S142","Salmonella phage S142 Jerseyvirus Guernseyvirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",43119,FALSE,"49.616","DNA","29-APR-2019",62,"59.6774193548387","40.3225806451613","91.1732646861012",NA,1,"Jerseyvirus","Jerseyvirus","Guernseyvirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Salmonella enterica serotype Enteritidis E2331",40870,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",24577,"virulent","0.01715122408668614","0.9828487759133138","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"6382","MH370386","Salmonella","Salmonella phage S147","Salmonella phage S147 Epseptimavirus S147 Epseptimavirus Markadamsvirinae Demerecviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",111447,FALSE,"39.985","DNA","29-APR-2019",161,"70.1863354037267","29.8136645962733","86.4392940141951",NA,28,"Epseptimavirus","Epseptimavirus","Markadamsvirinae","Demerecviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Salmonella enterica serotype Typhimurium 4/74",40870,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",24576,"virulent","0.03234931544369175","0.9676506845563083","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"6383","MH370387","Salmonella","Salmonella phage S149","Salmonella phage S149 Lederbergvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",41391,FALSE,"47.435","DNA","29-APR-2019",61,"62.2950819672131","37.7049180327869","89.8963542799159",NA,0,"Lederbergvirus","Lederbergvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Salmonella enterica serotype Typhimurium LT2",40870,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Temp_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",24575,"temperate","0.9916165323372959","0.008383467662704036","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Pseudomonadota","not_run","not_run"
"6384","MH370477","Escherichia","Escherichia phage SRT7","Escherichia phage SRT7 Foetvirus SRT7 Foetvirus Studiervirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",39883,FALSE,"50.535","DNA","14-AUG-2018",48,"0","100","90.060928215029",NA,0,"Foetvirus","Foetvirus","Studiervirinae","Autographiviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Escherichia coli",40453,"Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Enterobacterales",26528,"virulent","0.0005317416178725371","0.9994682583821274","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"6385","MH370478","Pseudomonas","Pseudomonas phage SRT6","Pseudomonas phage SRT6 Pakpunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",91364,FALSE,"49.301","DNA","21-JUL-2018",165,"29.6969696969697","70.3030303030303","90.084716080732",NA,15,"Pakpunavirus","Pakpunavirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Pseudomonas aeruginosa",88834,"Pseudomonadaceae","FALSE","Bacteria","Pseudomonadota_Lytic_NonSpor","Pseudomonadota","Gammaproteobacteria","Pseudomonadales",26954,"virulent","0.05430768282517918","0.9456923171748208","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Pseudomonadota","not_run","not_run"
"6386","MH371107","Mycobacterium","Mycobacterium phage Doddsville","Mycobacterium phage Doddsville Pegunavirus oline Pegunavirus Bclasvirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",68243,FALSE,"66.417","DNA","01-DEC-2021",96,"47.9166666666667","52.0833333333333","93.5788285978049",NA,0,"Pegunavirus","Pegunavirus","Bclasvirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",74156,"Mycobacteriaceae","FALSE","Bacteria","Actinomycetota_Lytic_NonSpor","Actinomycetota","Actinomycetes","Mycobacteriales",19078,"virulent","0.0008941362894347696","0.9991058637105653","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Actinomycetota","not_run","not_run"
"6387","MH371108","Microbacterium","Microbacterium phage Fork","Microbacterium phage Fork Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",62090,FALSE,"61.804","DNA","18-SEP-2020",108,"44.4444444444444","55.5555555555556","88.8001288452247",NA,4,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",69538,"Microbacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Actinomycetales",22224,"temperate","0.8501218741007742","0.14987812589922575","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"6388","MH371109","Microbacterium","Microbacterium phage Lyell","Microbacterium phage Lyell Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",62716,FALSE,"61.595","DNA","18-SEP-2020",110,"44.5454545454545","55.4545454545455","88.473435805855",NA,4,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",69538,"Microbacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Actinomycetales",22225,"temperate","0.8220794319811061","0.17792056801889392","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"6389","MH371110","Mycobacterium","Mycobacterium phage Magnar","Mycobacterium phage Magnar Fromanvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",51428,FALSE,"63.726","DNA","29-AUG-2023",87,"41.3793103448276","58.6206896551724","91.1468460760675",NA,0,"Fromanvirus","Fromanvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",74156,"Mycobacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Mycobacteriales",7005,"temperate","0.9850462662936446","0.01495373370635542","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"6390","MH371111","Microbacterium","Microbacterium phage Quaker","Microbacterium phage Quaker Paopuvirus quaker Paopuvirus Pelczarvirinae Orlajensenviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",17450,FALSE,"68.636","DNA","22-AUG-2022",25,"88","12","91.2893982808023",NA,0,"Paopuvirus","Paopuvirus","Pelczarvirinae","Orlajensenviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",69538,"Microbacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Actinomycetales",16308,"temperate","0.971385314295682","0.028614685704318108","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"6391","MH371112","Mycobacterium","Mycobacterium phage Adnama","Mycobacterium phage Adnama Kostyavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",75208,FALSE,"62.886","DNA","29-AUG-2023",139,"74.1007194244604","25.8992805755396","90.9610679714924",NA,2,"Kostyavirus","Kostyavirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",74156,"Mycobacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Mycobacteriales",7006,"temperate","0.8761843999897957","0.1238156000102044","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"6392","MH371113","Mycobacterium","Mycobacterium phage Beezoo","Mycobacterium phage Beezoo Anayavirus beezoo Anayavirus Weiservirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",60494,FALSE,"66.501","DNA","22-JAN-2021",94,"96.8085106382979","3.19148936170213","91.5247793169571",NA,1,"Anayavirus","Anayavirus","Weiservirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",74156,"Mycobacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Mycobacteriales",21361,"temperate","0.9913043735214602","0.008695626478539806","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"6393","MH371114","Mycobacterium","Mycobacterium phage Childish","Mycobacterium phage Childish Pegunavirus Pg1 Pegunavirus Bclasvirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",69044,FALSE,"66.478","DNA","01-DEC-2021",98,"47.9591836734694","52.0408163265306","93.1188807137478",NA,0,"Pegunavirus","Pegunavirus","Bclasvirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",74156,"Mycobacteriaceae","FALSE","Bacteria","Actinomycetota_Lytic_NonSpor","Actinomycetota","Actinomycetes","Mycobacteriales",19079,"virulent","0.0011581587930624313","0.9988418412069376","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Actinomycetota","not_run","not_run"
"6394","MH371115","Mycobacterium","Mycobacterium phage Clifton","Mycobacterium phage Clifton Cheoctovirus Gracegardnervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",55727,FALSE,"61.658","DNA","29-AUG-2023",91,"94.5054945054945","5.49450549450549","94.94679419312",NA,0,"Cheoctovirus","Cheoctovirus","Gracegardnervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",74156,"Mycobacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Mycobacteriales",7007,"temperate","0.9901032035781197","0.009896796421880343","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"6395","MH371116","Mycobacterium","Mycobacterium phage DMoney","Mycobacterium phage DMoney Liefievirus Gclasvirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",41880,FALSE,"66.562","DNA","26-MAY-2022",61,"96.7213114754098","3.27868852459016","95.1934097421203",NA,0,"Liefievirus","Liefievirus","Gclasvirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",74156,"Mycobacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Mycobacteriales",17013,"temperate","0.9999090497915057","9.095020849427693e-05","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"6396","MH371117","Mycobacterium","Mycobacterium phage Kahve","Mycobacterium phage Kahve Pegunavirus Pg1 Pegunavirus Bclasvirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",69031,FALSE,"66.486","DNA","01-DEC-2021",98,"47.9591836734694","52.0408163265306","93.140762845678",NA,0,"Pegunavirus","Pegunavirus","Bclasvirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",74156,"Mycobacteriaceae","FALSE","Bacteria","Actinomycetota_Lytic_NonSpor","Actinomycetota","Actinomycetes","Mycobacteriales",19080,"virulent","0.0007462438426762307","0.9992537561573238","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Actinomycetota","not_run","not_run"
"6397","MH371118","Microbacterium","Microbacterium phage KayPaulus","Microbacterium phage KayPaulus Paopuvirus Pelczarvirinae Orlajensenviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",17455,FALSE,"68.536","DNA","22-AUG-2022",25,"88","12","91.2976224577485",NA,0,"Paopuvirus","Paopuvirus","Pelczarvirinae","Orlajensenviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",69538,"Microbacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Actinomycetales",16309,"temperate","0.9672998354210224","0.03270016457897757","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"6398","MH371119","Mycobacterium","Mycobacterium phage OctaviousRex","Mycobacterium phage OctaviousRex Liefievirus Gclasvirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",41880,FALSE,"66.562","DNA","26-MAY-2022",61,"96.7213114754098","3.27868852459016","95.1934097421203",NA,0,"Liefievirus","Liefievirus","Gclasvirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",74156,"Mycobacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Mycobacteriales",17014,"temperate","0.9999090614784892","9.093852151075318e-05","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"6399","MH371120","Mycobacterium","Mycobacterium phage OlympiaSaint","Mycobacterium phage OlympiaSaint Cheoctovirus olympiasaint Cheoctovirus Gracegardnervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",58297,FALSE,"61.399","DNA","29-AUG-2023",100,"95","5","95.4697497298317",NA,0,"Cheoctovirus","Cheoctovirus","Gracegardnervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",74156,"Mycobacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Mycobacteriales",7008,"temperate","0.9998806053977731","0.00011939460222690647","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"6400","MH371121","Mycobacterium","Mycobacterium phage Phranny","Mycobacterium phage Phranny Microwolfvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",48024,FALSE,"64.024","DNA","29-AUG-2023",74,"40.5405405405405","59.4594594594595","90.8504081292687",NA,3,"Microwolfvirus","Microwolfvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",74156,"Mycobacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Mycobacteriales",7009,"temperate","0.9998739330994038","0.00012606690059620924","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"6401","MH371122","Mycobacterium","Mycobacterium phage Priya","Mycobacterium phage Priya Fromanvirus alma Fromanvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",52949,FALSE,"62.532","DNA","29-AUG-2023",86,"37.2093023255814","62.7906976744186","88.5701335247125",NA,1,"Fromanvirus","Fromanvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",74156,"Mycobacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Mycobacteriales",7010,"temperate","0.9968470450681622","0.0031529549318376877","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"6402","MH371123","Mycobacterium","Mycobacterium phage Sandalphon","Mycobacterium phage Sandalphon Cheoctovirus sandalphon Cheoctovirus Gracegardnervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",59540,FALSE,"61.407","DNA","29-AUG-2023",102,"91.1764705882353","8.82352941176471","94.9781659388646",NA,0,"Cheoctovirus","Cheoctovirus","Gracegardnervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",74156,"Mycobacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Mycobacteriales",7011,"temperate","0.9993069982224446","0.0006930017775553812","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"6403","MH371124","Microbacterium","Microbacterium phage VitulaEligans","Microbacterium phage VitulaEligans Paopuvirus Pelczarvirinae Orlajensenviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",17534,FALSE,"68.769","DNA","22-AUG-2022",24,"87.5","12.5","79.4399452492301",NA,1,"Paopuvirus","Paopuvirus","Pelczarvirinae","Orlajensenviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",69538,"Microbacteriaceae","FALSE","Bacteria","Actinomycetota_Temp_NonSpor","Actinomycetota","Actinomycetes","Actinomycetales",16310,"temperate","0.8941143334365842","0.10588566656341573","OtherPhyla_Temp_NonSpor","NonSpor","Temp","OtherPhyla","Actinomycetota","not_run","not_run"
"6404","MH371125","Mycobacterium","Mycobacterium phage Morty","Mycobacterium phage Morty Pegunavirus Pg1 Pegunavirus Bclasvirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",68878,FALSE,"66.506","DNA","01-DEC-2021",98,"47.9591836734694","52.0408163265306","93.2082813089811",NA,0,"Pegunavirus","Pegunavirus","Bclasvirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified",74156,"Mycobacteriaceae","FALSE","Bacteria","Actinomycetota_Lytic_NonSpor","Actinomycetota","Actinomycetes","Mycobacteriales",19081,"virulent","9.311493786075552e-05","0.9999068850621393","OtherPhyla_Lytic_NonSpor","NonSpor","Lytic","OtherPhyla","Actinomycetota","not_run","not_run"
"6405","MH375074","Enterococcus","Enterococcus phage LY0323","Enterococcus phage LY0323 Efquatrovirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",40876,FALSE,"34.673","DNA","07-JUL-2018",60,"63.3333333333333","36.6666666666667","91.3005186417458",NA,0,"Efquatrovirus","Efquatrovirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus faecalis",41473,"Enterococcaceae","FALSE","Bacteria","Bacillota_Lytic_NonSpor","Bacillota","Bacilli","Lactobacillales",27006,"virulent","0.2500391528474506","0.7499608471525494","Bacillota_Lytic_NonSpor","NonSpor","Lytic","Bacillota","Bacillota_NonSpor","0_1449","ref_seq"
"6406","MH375593","Streptococcus","Streptococcus phage 93","Streptococcus phage 93 Brussowvirus Aliceevansviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",40563,FALSE,"39.211","DNA","25-OCT-2021",58,"98.2758620689655","1.72413793103448","89.7418829968198",NA,0,"Brussowvirus","Brussowvirus","Unclassified","Aliceevansviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Streptococcus thermophilus",109822,"Streptococcaceae","FALSE","Bacteria","Bacillota_Temp_NonSpor","Bacillota","Bacilli","Lactobacillales",19578,"temperate","0.8199116831091897","0.18008831689081017","Bacillota_Temp_NonSpor","NonSpor","Temp","Bacillota","Bacillota_NonSpor","0_1486","ref_seq"
"6407","MH375594","Streptococcus","Streptococcus phage 94","Streptococcus phage 94 Moineauvirus Aliceevansviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",37611,FALSE,"38.135","DNA","25-OCT-2021",47,"97.8723404255319","2.12765957446809","92.1671851320093",NA,0,"Moineauvirus","Moineauvirus","Unclassified","Aliceevansviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Streptococcus thermophilus",109822,"Streptococcaceae","FALSE","Bacteria","Bacillota_Temp_NonSpor","Bacillota","Bacilli","Lactobacillales",19577,"temperate","0.882799007952882","0.11720099204711798","Bacillota_Temp_NonSpor","NonSpor","Temp","Bacillota","Bacillota_NonSpor","0_1824","ref_seq"
"6408","MH375595","Streptococcus","Streptococcus phage 107","Streptococcus phage 107 Moineauvirus Aliceevansviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",36938,FALSE,"38.678","DNA","25-OCT-2021",46,"100","0","90.6221235583951",NA,0,"Moineauvirus","Moineauvirus","Unclassified","Aliceevansviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Streptococcus thermophilus",109822,"Streptococcaceae","FALSE","Bacteria","Bacillota_Temp_NonSpor","Bacillota","Bacilli","Lactobacillales",19576,"temperate","0.859258738932484","0.140741261067516","Bacillota_Temp_NonSpor","NonSpor","Temp","Bacillota","Bacillota_NonSpor","0_1893","ref_seq"
"6409","MH375596","Streptococcus","Streptococcus phage 115","Streptococcus phage 115 Moineauvirus Aliceevansviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",42017,FALSE,"38.796","DNA","25-OCT-2021",56,"100","0","90.784682390461",NA,0,"Moineauvirus","Moineauvirus","Unclassified","Aliceevansviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Streptococcus thermophilus",109822,"Streptococcaceae","FALSE","Bacteria","Bacillota_Temp_NonSpor","Bacillota","Bacilli","Lactobacillales",19579,"temperate","0.8527488211220006","0.14725117887799946","Bacillota_Temp_NonSpor","NonSpor","Temp","Bacillota","Bacillota_NonSpor","0_1288","ref_seq"
"6410","MH375597","Streptococcus","Streptococcus phage 123","Streptococcus phage 123 Moineauvirus Aliceevansviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",36129,FALSE,"38.670","DNA","25-OCT-2021",47,"100","0","91.7213318940463",NA,0,"Moineauvirus","Moineauvirus","Unclassified","Aliceevansviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Streptococcus thermophilus",109822,"Streptococcaceae","FALSE","Bacteria","Bacillota_Temp_NonSpor","Bacillota","Bacilli","Lactobacillales",19575,"temperate","0.8716815045132922","0.12831849548670776","Bacillota_Temp_NonSpor","NonSpor","Temp","Bacillota","Bacillota_NonSpor","0_1974","ref_seq"
"6411","MH375598","Streptococcus","Streptococcus phage 140","Streptococcus phage 140 Moineauvirus Aliceevansviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",36064,FALSE,"38.285","DNA","25-OCT-2021",43,"97.6744186046512","2.32558139534884","91.0631100266193",NA,0,"Moineauvirus","Moineauvirus","Unclassified","Aliceevansviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Streptococcus thermophilus",109822,"Streptococcaceae","FALSE","Bacteria","Bacillota_Temp_NonSpor","Bacillota","Bacilli","Lactobacillales",19574,"temperate","0.9063092964260508","0.0936907035739492","Bacillota_Temp_NonSpor","NonSpor","Temp","Bacillota","Bacillota_NonSpor","0_1977","ref_seq"
"6412","MH375599","Streptococcus","Streptococcus phage 142","Streptococcus phage 142 Moineauvirus Aliceevansviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",34639,FALSE,"39.014","DNA","25-OCT-2021",38,"100","0","89.9448598400647",NA,0,"Moineauvirus","Moineauvirus","Unclassified","Aliceevansviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Streptococcus thermophilus",109822,"Streptococcaceae","FALSE","Bacteria","Bacillota_Temp_NonSpor","Bacillota","Bacilli","Lactobacillales",19573,"temperate","0.8916556283727647","0.10834437162723527","Bacillota_Temp_NonSpor","NonSpor","Temp","Bacillota","Bacillota_NonSpor","0_2112","ref_seq"
"6413","MH375600","Streptococcus","Streptococcus phage pST","Streptococcus phage pST Moineauvirus Aliceevansviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",35581,FALSE,"38.546","DNA","25-OCT-2021",43,"100","0","92.4678901660999",NA,0,"Moineauvirus","Moineauvirus","Unclassified","Aliceevansviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Streptococcus thermophilus",109822,"Streptococcaceae","FALSE","Bacteria","Bacillota_Temp_NonSpor","Bacillota","Bacilli","Lactobacillales",19572,"temperate","0.8885065390319883","0.11149346096801176","Bacillota_Temp_NonSpor","NonSpor","Temp","Bacillota","Bacillota_NonSpor","0_2028","ref_seq"
