Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Annotation Release Date	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Stats Number of Contigs	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly Stats GC Percent	Annotation BUSCO Complete	Annotation BUSCO Single Copy	Annotation BUSCO Duplicated	Annotation BUSCO Fragmented	Annotation BUSCO Missing	Annotation BUSCO Lineage	Annotation Count Gene Total	CheckM marker set	CheckM completeness	CheckM contamination
CRIB_assembly_V1	GCF_900015215.1	GCA_900015215.1	Romboutsia ilealis	1115758		CRIB					GCF_900015215.1-RS_2025_12_13	2025-12-13	2588193	2	4	Chromosome	2017-04-01		2	28							2518	Peptostreptococcaceae	99.34	
ASM1944398v1	GCF_019443985.1	GCA_019443985.1	Liquorilactobacillus hordei DSM 19519	1423759		DSM 19519					GCF_019443985.1-RS_2025_02_16	2025-02-16	2440903	3	3	Chromosome	2021-08-03		3	35							2441	Lactobacillaceae	98.04	0.08
ASM287477v1	GCF_002874775.1	GCA_002874775.1	Monoglobus pectinilyticus	1981510		14					GCF_002874775.1-RS_2025_12_12	2025-12-12	2759678	1	3	Chromosome	2018-01-11		1	37.5							2343	Clostridia	97.27	0.91
ASM2910154v1	GCF_029101545.1	GCA_029101545.1	Amygdalobacter indicium	3029272		UPII 610-J					GCF_029101545.1-RS_2025_11_20	2025-11-20	1555175	2	2	Chromosome	2023-03-09		2	42							1319	Ruminococcaceae	81.71	0.62
ASM224338v1	GCF_002243385.1	GCA_002243385.1	Mogibacterium pumilum	86332		ATCC 700696					GCF_002243385.1-RS_2025_12_13	2025-12-13	1862768	1	133	Chromosome	2017-08-08		1	41							1808	Clostridia	96.44	1.82
ASM16161v1	GCF_000161615.1	GCA_000161615.1	Bacillus thuringiensis serovar berliner ATCC 10792	527031		ATCC 10792					GCF_000161615.1-RS_2025_03_29	2025-03-29	6260142	1	253	Chromosome	2009-05-29	ACNF01	1	35							6500	Bacillus thuringiensis	99.48	0.36
ASM16145v1	GCF_000161455.1	GCA_000161455.1	Bacillus pseudomycoides DSM 12442	527000		DSM 12442					GCF_000161455.1-RS_2025_04_22	2025-04-22	5782514	1	305	Chromosome	2009-05-29	ACMX01	1	35.5							6066	Bacillus	98.82	0.31
ASM24105v1	GCF_000241055.1	GCA_000241055.1	Oenococcus kitaharae DSM 17330	1045004		DSM 17330					GCF_000241055.1-RS_2025_04_11	2025-04-11	1842238	2	2	Chromosome	2012-01-05	AFVZ01	2	42.5							1878	Oenococcus	98.05	0.07
ASM24489v1	GCF_000244895.1	GCA_000244895.1	Desulfosporosinus youngiae DSM 17734	768710		DSM 17734					GCF_000244895.1-RS_2025_05_13	2025-05-13	5660978	1	4	Chromosome	2012-02-01	AHLV01	1	44							5416	Desulfosporosinus	99.1	0.8
ASM34047v1	GCF_000340475.1	GCA_000340475.1	Oceanobacillus kimchii X50	1238184		X50					GCF_000340475.1-RS_2025_03_30	2025-03-30	3830781	1	20	Chromosome	2013-02-22	AOCX01	1	35							3840	Oceanobacillus	97.74	1.07
ASM26244v1	GCF_000262445.1	GCA_000262445.1	Thermoanaerobacter siderophilus SR4	880478		SR4					GCF_000262445.1-RS_2025_04_22	2025-04-22	2540159	1	22	Chromosome	2012-06-19	AJUD01	1	34							2611	Thermoanaerobacter	84.77	0.76
ASM14634v1	GCF_000146345.1	GCA_000146345.1	Peptoniphilus duerdenii ATCC BAA-1640	862517		ATCC BAA-1640					GCF_000146345.1-RS_2025_05_01	2025-05-01	2124844	1	61	Scaffold	2010-08-27	AEEH01	16	34							1959	Peptoniphilus	98.48	0.14
ASM4652407v1	GCF_046524075.1	GCA_046524075.1	Bacillus cereus ATCC 14579	226900		P1					GCF_046524075.1-RS_2025_01_07	2025-01-07	5450604	1	3	Contig	2025-01-06	JBJJSR01	3	35.5							5627	Bacillus cereus	98.59	0.79
KCTC_13613_01	GCF_000262045.1	GCA_000262045.1	Bacillus siamensis KCTC 13613	1177185		KCTC 13613(T)					GCF_000262045.1-RS_2024_03_24	2024-03-24	3779696		51	Contig	2012-05-08	AJVF01	51	46.5							3876	Bacillus	99.41	
44343_D01	GCF_900458255.1	GCA_900458255.1	Staphylococcus cohnii	29382		NCTC11041					GCF_900458255.1-RS_2025_08_04	2025-08-04	2694244		2	Contig	2018-08-01	UHDA01	2	32.5							2665	Staphylococcus	98.33	0.2
50681_C01	GCF_900445365.1	GCA_900445365.1	Cytobacillus firmus	1399		NCTC10335					GCF_900445365.1-RS_2025_04_27	2025-04-27	4803910		3	Contig	2018-08-08	UFTC01	3	41.5							4972	Bacillaceae	99.35	1.83
PPe03	GCF_000236805.1	GCA_000236805.2	Paenibacillus peoriae KCTC 3763	1087481		KCTC 3763					GCF_000236805.1-RS_2025_04_04	2025-04-04	5771987	1	49	Scaffold	2011-12-05	AGFX01	49	46.5							5209	Paenibacillus	98.98	0.56
ASM26275v1	GCF_000262755.1	GCA_000262755.1	Bacillus methanolicus PB1	997296		PB1					GCF_000262755.1-RS_2025_03_27	2025-03-27	3426513	1	7	Contig	2012-05-14	AFEU01	7	39							3416	Bacillus methanolicus	96.39	1.67
IMG-taxon 2599185264 annotated assembly	GCF_900115845.1	GCA_900115845.1	Priestia endophytica DSM 13796	1121089		DSM 13796					GCF_900115845.1-RS_2025_12_11	2025-12-11	5118421		46	Scaffold	2016-11-02	FOXX01	38	36.5							5249	Bacillaceae	99.25	1.34
ASM223773v1	GCF_002237735.1	GCA_002237735.1	Priestia filamentosa	1402861		DSM 27955					GCF_002237735.1-RS_2025_03_30	2025-03-30	5149214		32	Scaffold	2017-08-01	MWSI01	31	36.5							5205	Bacillaceae	99.25	0.7
ASM127471v1	GCF_001274715.1	GCA_001274715.1	Aneurinibacillus migulanus	47500		DSM 2895					GCF_001274715.1-RS_2025_12_09	2025-12-09	6348994		54	Scaffold	2015-08-26	LGUG01	28	43							6893	Paenibacillaceae	98.7	2.77
ASM218960v1	GCF_002189605.1	GCA_002189605.1	Pseudobacillus badius	1455		DSM 28241					GCF_002189605.1-RS_2025_04_02	2025-04-02	3963196		62	Scaffold	2017-06-08	MWMM01	60	44							4012	Bacillaceae	99.35	0.32
ASM188423v1	GCF_001884235.1	GCA_001884235.1	Bacillus paramycoides	2026194		NH24A2					GCF_001884235.1-RS_2025_03_30	2025-03-30	5453107		144	Contig	2016-11-18	MAOI01	144	35							5708	Bacillus	98.82	0.51
ASM653998v1	GCF_006539985.1	GCA_006539985.1	Kurthia gibsonii	33946		NBRC 15534					GCF_006539985.1-RS_2025_01_12	2025-01-12	2778614		113	Contig	2019-06-12	BJOB01	113	36.5							2797	Planococcaceae	85.37	4.39
ASM1419619v1	GCF_014196195.1	GCA_014196195.1	Anoxybacteroides rupiense	311460		DSM 17127					GCF_014196195.1-RS_2024_12_29	2024-12-29	3705654		30	Scaffold	2020-08-14	JACIDF01	27	42.5							3658	Bacillales	99.25	
ASM1239643v1	GCF_012396435.1	GCA_012396435.1	Weissella hellenica	46256		CCUG 33494					GCF_012396435.1-RS_2025_04_27	2025-04-27	1818703		27	Contig	2020-04-15	JAAXPM01	27	37							1825	Weissella	97.69	0.26
ASM333731v1	GCF_003337315.1	GCA_003337315.1	Vagococcus fluvialis	2738		DSM 5731					GCF_003337315.1-RS_2025_05_17	2025-05-17	2651514		31	Scaffold	2018-07-24	QPJV01	29	32.5							2657	Enterococcaceae	97.34	4.12
ASM1376101v1	GCF_013761015.1	GCA_013761015.1	Anoxybacillus ayderensis	265546		DSM 14988					GCF_013761015.1-RS_2025_05_05	2025-05-05	2560828		21	Scaffold	2020-07-27	JACDUV01	19	41.5							2771	Anoxybacillus	98.34	0.98
ASM193906v1	GCF_001939065.1	GCA_001939065.1	Exiguobacterium indicum HHS 31	1358421		HHS 31					GCF_001939065.1-RS_2025_04_10	2025-04-10	3244965		23	Contig	2017-01-06	MPSZ01	23	46.5							3364	Exiguobacterium	98.98	0.45
ASM2989410v1	GCF_029894105.1	GCA_029894105.1	Bacillus aerius	293388		24K					GCF_029894105.1-RS_2025_04_28	2025-04-28	3899111		2	Contig	2023-04-28	JARYHO01	2	41							4042	Bacillus	98.48	0.29
ASM118360v1	GCF_001183605.1	GCA_001183605.1	Lysinibacillus xylanilyticus	582475		DSM 23493					GCF_001183605.1-RS_2025_12_06	2025-12-06	5221635		19	Scaffold	2015-07-21	LFXJ01	13	36.5							5060	Lysinibacillus	89.28	9.76
ASM212842v1	GCF_002128425.1	GCA_002128425.1	Gottfriedia acidiceleris	371036		DSM 18954					GCF_002128425.1-RS_2025_12_11	2025-12-11	4770625		46	Scaffold	2017-05-11	NESS01	45	33							4706	Bacillaceae	98.71	0.16
ASM101277v1	GCF_001012775.1	GCA_001012775.1	Brevibacillus formosus	54913		DSM 9885					GCF_001012775.1-RS_2025_12_12	2025-12-12	6215362		48	Scaffold	2015-05-22	LDCN01	26	47.5							5853	Brevibacillus	97.51	2.37
ASM2523479v1	GCF_025234795.1	GCA_025234795.1	Exiguobacterium mexicanum	340146		IMTB_3094					GCF_025234795.1-RS_2025_08_03	2025-08-03	2928986		135	Contig	2022-09-16	JANIEJ01	135	52.5							3092	Exiguobacterium	98.28	1.57
ASM3040405v1	GCF_030404055.1	GCA_030404055.1	Guptibacillus hwajinpoensis	208199		DSM 23007					GCF_030404055.1-RS_2025_06_29	2025-06-29	4108551		30	Scaffold	2023-07-03	JAQRMZ01	25	40							4142	Bacillales	98.51	
ASM783023v1	GCF_007830235.1	GCA_007830235.1	Cytobacillus oceanisediminis	665099		CGMCC 1.10115					GCF_007830235.1-RS_2025_04_05	2025-04-05	5634660		68	Scaffold	2019-08-02	VLKI01	51	41							5621	Bacillaceae	99.35	2.04
Dolo_pigr_ATCC_51524_V1	GCF_000245815.1	GCA_000245815.1	Dolosigranulum pigrum ATCC 51524	883103		ATCC 51524					GCF_000245815.1-RS_2025_08_21	2025-08-21	1862135		16	Scaffold	2012-02-07	AGEF01	2	39.5							1726	Carnobacteriaceae	98.31	1.02
Fack_homi_CCUG_36813_V1	GCF_000301035.1	GCA_000301035.1	Facklamia hominis CCUG 36813	883111		CCUG 36813					GCF_000301035.1-RS_2025_12_11	2025-12-11	1897623		13	Scaffold	2012-10-11	AGZD01	1	39							1784	Facklamia hominis	97.46	0.17
ASM164855v1	GCF_001648555.1	GCA_001648555.1	Rossellomorea aquimaris TF-12	1073842		TF12					GCF_001648555.1-RS_2025_12_11	2025-12-11	4035445		30	Contig	2016-05-19	LQXM01	30	37.5							4148	Bacillaceae	99.35	12.72
ASM400092v1	GCF_004000925.1	GCA_004000925.1	Paenibacillus illinoisensis NBRC 15959	1349779		NBRC 15959					GCF_004000925.1-RS_2025_02_23	2025-02-23	6623886		28	Contig	2018-12-29	BIME01	28	47							5938	Paenibacillus	99.72	
ASM51876v1	GCF_000518765.1	GCA_000518765.1	Ruminococcus flavefaciens ATCC 19208	1336236		ATCC 19208					GCF_000518765.1-RS_2025_04_11	2025-04-11	3587803		40	Scaffold	2014-01-13	JAEF01	25	43							3159	Ruminococcus flavefaciens	98.78	1.99
ASM201963v1	GCF_002019635.1	GCA_002019635.1	Metabacillus halosaccharovorans	930124		DSM 25387					GCF_002019635.1-RS_2025_05_03	2025-05-03	5399367		8	Scaffold	2017-03-06	MTIR01	4	36							5219	Bacillaceae	99.35	0.61
ASM4265286v1	GCF_042652865.1	GCA_042652865.1	Exiguobacterium profundum	307643		CCUG 50949					GCF_042652865.1-RS_2025_03_02	2025-03-02	2808576		11	Contig	2024-10-05	JBHSHG01	11	48							2944	Exiguobacterium	99.02	
49508_F02	GCF_900454495.1	GCA_900454495.1	Paenibacillus macerans	44252		NCTC6355					GCF_900454495.1-RS_2025_04_27	2025-04-27	7390297		2	Contig	2018-08-01	UGSI01	2	52.5							6626	Paenibacillus	99.72	
ASM798938v1	GCF_007989385.1	GCA_007989385.1	Marinilactibacillus psychrotolerans	191770		NBRC 100002					GCF_007989385.1-RS_2025_08_26	2025-08-26	2482538		52	Contig	2019-08-01	BJVX01	52	34.5							2386	Carnobacteriaceae	97.46	1.78
ASM130226v1	GCF_001302265.1	GCA_001302265.1	Streptococcus phocae	119224		ATCC 51973					GCF_001302265.1-RS_2025_12_12	2025-12-12	1700082		91	Contig	2015-09-28	LHQM01	91	39.5							1767	Streptococcus	97.84	0.19
ASM18746v1	GCF_000187465.1	GCA_000187465.1	Streptococcus infantis ATCC 700779	889204		ATCC 700779					GCF_000187465.1-RS_2025_04_01	2025-04-01	1905984		31	Scaffold	2011-02-03	AEVD01	10	39							1962	Streptococcus infantis	99.08	0.48
ASM70258v1	GCF_000702585.1	GCA_000702585.1	Exiguobacterium aurantiacum DSM 6208	1397694		DSM 6208					GCF_000702585.1-RS_2025_12_10	2025-12-10	3037601		2	Contig	2014-06-11	JNIQ01	2	53							3151	Exiguobacterium	99.09	
ASM42078v1	GCF_000420785.1	GCA_000420785.1	Streptococcus hyovaginalis DSM 12219	1123305		DSM 12219					GCF_000420785.1-RS_2025_05_02	2025-05-02	2077809		39	Scaffold	2013-07-09	ATVP01	37	40							2085	Streptococcus	99.87	
50861_B01	GCF_900452285.1	GCA_900452285.1	Kurthia zopfii	1650		NCTC10597					GCF_900452285.1-RS_2025_08_15	2025-08-15	2991625		2	Contig	2018-08-01	UGNP01	2	37							3020	Planococcaceae	88.01	4.21
ASM118772v1	GCF_001187725.1	GCA_001187725.1	Brevibacillus reuszeri	54915		DSM 9887					GCF_001187725.1-RS_2025_03_29	2025-03-29	6986486		35	Scaffold	2015-07-27	LGIQ01	24	47							6945	Brevibacillus	94.7	11.64
IMG-taxon 2617270721 annotated assembly	GCF_900094975.1	GCA_900094975.1	[Bacillus] enclensis	1402860		SGD-1123					GCF_900094975.1-RS_2025_03_12	2025-03-12	4481988		22	Scaffold	2016-08-04	FMAU01	18	44.5							4505	Bacillaceae	99.35	2.76
ASM799498v1	GCF_007994985.1	GCA_007994985.1	Metabacillus litoralis	152268		SW-211					GCF_007994985.1-RS_2025_08_06	2025-08-06	4884777		75	Contig	2019-08-13	VOQF01	75	34							4758	Bacillaceae	99.35	1.51
ASM1335990v1	GCF_013359905.1	GCA_013359905.1	Paenibacillus taichungensis	484184		DSM 19942					GCF_013359905.1-RS_2024_12_22	2024-12-22	7233429		122	Contig	2020-06-18	JABMCC01	122	45.5							6646	Paenibacillus	99.72	1.39
ASM393782v1	GCF_003937825.1	GCA_003937825.1	Mesobacillus subterraneus	285983		DSM 13966					GCF_003937825.1-RS_2025_05_04	2025-05-04	4571170		42	Contig	2018-12-11	RSFW01	42	44							4729	Bacillaceae	99.03	0.86
7067_4#69	GCF_001224225.1	GCA_001224225.1	Staphylococcus borealis	2742203		51-48					GCF_001224225.1-RS_2025_04_26	2025-04-26	2668587		29	Contig	2015-08-03	CUEE01	29	33.5							2658	Staphylococcus	99.14	0.1
ASM301205v1	GCF_003012055.1	GCA_003012055.1	Peptostreptococcus russellii	215200		RT-10B					GCF_003012055.1-RS_2025_12_13	2025-12-13	2082949		12	Contig	2018-03-20	JYGE01	12	31							1841	Peptostreptococcus	91.37	4.38
ASM3952150v1	GCF_039521505.1	GCA_039521505.1	Clostridium tertium	1559		JCM 6289					GCF_039521505.1-RS_2024_05_10	2024-05-10	3874184		36	Scaffold	2024-02-23	BAAACM01	31	28							3706	Clostridium	100	1.55
IMG-taxon 2619618820 annotated assembly	GCF_900101985.1	GCA_900101985.1	Bhargavaea beijingensis	426756		CGMCC 1.6762					GCF_900101985.1-RS_2025_12_09	2025-12-09	2988557		43	Contig	2016-10-21	FNAR01	43	54							3027	Planococcaceae	92.33	2.57
ASM188406v1	GCF_001884065.1	GCA_001884065.1	Bacillus proteolyticus	2026192		TD42					GCF_001884065.1-RS_2025_04_22	2025-04-22	5859329		170	Contig	2016-11-18	MACH01	170	35							6171	Bacillus	99.41	0.44
ASM165319v1	GCF_001653195.1	GCA_001653195.1	Hydrogenibacillus schlegelii	1484		MA 48					GCF_001653195.1-RS_2025_05_02	2025-05-02	2608908		67	Contig	2016-05-27	JXBB01	67	66							2550	Bacillales	91.95	1.89
ASM188404v1	GCF_001884045.1	GCA_001884045.1	Bacillus mobilis	2026190		0711P9-1					GCF_001884045.1-RS_2025_05_17	2025-05-17	5660141		152	Contig	2016-11-18	MACF01	152	35.5							5795	Bacillus	99.41	0.11
ASM143740v1	GCF_001437405.1	GCA_001437405.1	Pediococcus ethanolidurans	319653		DSM 22301					GCF_001437405.1-RS_2025_03_28	2025-03-28	2260906		66	Contig	2015-11-06	JQBY01	66	37							2203	Pediococcus	91.8	9.33
ASM283573v1	GCF_002835735.1	GCA_002835735.1	Cytobacillus horneckiae	549687		1P01SC					GCF_002835735.1-RS_2025_06_23	2025-06-23	5494436		103	Contig	2017-12-12	PISD01	103	37.5							5615	Bacillaceae	98.39	2.33
ASM76783v1	GCF_000767835.1	GCA_000767835.1	Streptococcus sinensis	176090		HKU4					GCF_000767835.1-RS_2025_04_26	2025-04-26	2061843		116	Contig	2014-10-22	JPEN01	116	42							2038	Streptococcus	98.76	0.13
ASM163641v1	GCF_001636415.1	GCA_001636415.1	Neobacillus drentensis	220684		FJAT-10044					GCF_001636415.1-RS_2025_03_05	2025-03-05	5305306		5	Scaffold	2016-05-04	LUUU01	3	39							5228	Bacillaceae	99.35	1.27
ASM221765v1	GCF_002217655.1	GCA_002217655.1	Geobacillus thermocatenulatus	33938		BGSC 93A1					GCF_002217655.1-RS_2025_05_17	2025-05-17	3563800		2	Contig	2017-07-13	NEWK01	2	52							3674	Geobacillus	98.6	0.23
ASM437509v1	GCF_004375095.1	GCA_004375095.1	Shouchella lehensis	300825		DSM 19099					GCF_004375095.1-RS_2025_07_22	2025-07-22	3995080		15	Scaffold	2019-03-25	SNUX01	8	40							4130	Bacillaceae	99.35	
ASM283580v1	GCF_002835805.1	GCA_002835805.1	Niallia nealsonii	115979		FO-92					GCF_002835805.1-RS_2025_12_11	2025-12-11	4691494		91	Contig	2017-12-12	PISE01	91	34.5							4490	Bacillaceae	95.16	0.42
ASM869299v1	GCF_008692995.1	GCA_008692995.1	Gemella haemolysans	1379		CCUG 37985T					GCF_008692995.1-RS_2025_03_29	2025-03-29	1905342		20	Contig	2019-09-24	VXKF01	20	30.5							1751	Gemella haemolysans	98.52	1.95
ASM4898488v1	GCF_048984885.1	GCA_048984885.1	Alicyclobacillus tolerans	90970		DSM 16297					GCF_048984885.1-RS_2025_03_28	2025-03-28	3154851		3	Contig	2025-03-25	JBMGNK01	3	45							3197	Alicyclobacillus	94.15	1.72
ASM220091v1	GCF_002200915.1	GCA_002200915.1	Lysinibacillus boronitolerans JCM 21713 = 10a = NBRC 103108	1294264		NBRC 103108					GCF_002200915.1-RS_2025_04_27	2025-04-27	4564150		81	Contig	2017-06-19	AVCW01	81	37.5							4614	Lysinibacillus	95.37	5.79
ASM143481v1	GCF_001434815.1	GCA_001434815.1	Lactobacillus equicursoris DSM 19284 = JCM 14600 = CIP 110162	1293597		DSM 19284					GCF_001434815.1-RS_2025_03_29	2025-03-29	2052598		184	Scaffold	2015-11-06	AZDU01	182	47.5							2038	Lactobacillus	99.03	0.65
ASM279797v1	GCF_002797975.1	GCA_002797975.1	[Clostridium] celerecrescens 18A	1286362		18A					GCF_002797975.1-RS_2025_12_13	2025-12-13	5272838		1	Contig	2017-11-28	PGET01	1	44							4806	Lachnospiraceae	97.43	2.28
ASM62080v1	GCF_000620805.1	GCA_000620805.1	Exiguobacterium undae DSM 14481	1397693		DSM 14481					GCF_000620805.1-RS_2025_12_09	2025-12-09	3246106		10	Scaffold	2014-04-08	JHZV01	4	48							3325	Exiguobacterium undae	98.16	1.22
IMG-taxon 2506210005 annotated assembly	GCF_900176145.1	GCA_900176145.1	Sulfobacillus thermosulfidooxidans DSM 9293	929705		DSM 9293					GCF_900176145.1-RS_2025_04_12	2025-04-12	3861015		10	Scaffold	2017-04-07	FWWY01	2	49.5							3851	Sulfobacillus	98.69	0.86
Ente_disp_ATCC51266_V1	GCF_000406945.1	GCA_000406945.1	Enterococcus dispar ATCC 51266	1139219		ATCC 51266					GCF_000406945.1-RS_2025_03_30	2025-03-30	2822228		15	Scaffold	2013-06-04	AHYR01	3	37							2714	Enterococcus	97.91	1.98
ASM151449v1	GCF_001514495.1	GCA_001514495.1	Paenibacillus pabuli NBRC 13638	1349782		NBRC 13638					GCF_001514495.1-RS_2025_08_12	2025-08-12	7329063		63	Contig	2016-01-06	BCNM01	63	46.5							6511	Paenibacillus	99.72	1.22
ASM400080v1	GCF_004000805.1	GCA_004000805.1	Paenibacillus glycanilyticus NBRC 16618	1220565		NBRC 16618					GCF_004000805.1-RS_2025_09_09	2025-09-09	6887557		94	Contig	2018-12-29	BILY01	94	51							6201	Paenibacillus	99.72	0.83
ASM143573v1	GCF_001435735.1	GCA_001435735.1	Ligilactobacillus equi DSM 15833 = JCM 10991	1423740		DSM 15833					GCF_001435735.1-RS_2025_07_13	2025-07-13	2284210		229	Scaffold	2015-11-06	AZFH01	205	39							2364	Lactobacillaceae	99	1.63
48290_G02	GCF_900446755.1	GCA_900446755.1	Carnobacterium divergens	2748		NCTC13772					GCF_900446755.1-RS_2025_07_22	2025-07-22	2629627		2	Contig	2018-08-07	UFVP01	2	35							2525	Carnobacteriaceae	98.22	5.28
ASM288449v1	GCF_002884495.1	GCA_002884495.1	Rummeliibacillus pycnus	101070		DSM 15030					GCF_002884495.1-RS_2025_12_10	2025-12-10	3851193		2	Scaffold	2018-01-16	NJAS01	1	34.5							3790	Planococcaceae	90.94	3.84
ASM163631v1	GCF_001636315.1	GCA_001636315.1	Neobacillus mesonae	1193713		FJAT-13985					GCF_001636315.1-RS_2025_12_11	2025-12-11	5807726		7	Scaffold	2016-05-04	LUUQ01	2	40.5							5613	Bacillaceae	99.35	2.42
ASM4243263v1	GCF_042432635.1	GCA_042432635.1	Fictibacillus phosphorivorans	1221500		CCM 8426					GCF_042432635.1-RS_2025_05_11	2025-05-11	4050808		19	Scaffold	2024-09-28	JBHLWX01	15	39.5							4223	Bacillaceae	98.6	0.65
ASM366412v1	GCF_003664125.1	GCA_003664125.1	Planococcus citreus	1373		DSM 20549					GCF_003664125.1-RS_2025_04_22	2025-04-22	3429284		14	Scaffold	2018-10-15	RCCP01	13	48.5							3477	Planococcus	85.94	10.55
ASM1420261v1	GCF_014202615.1	GCA_014202615.1	Planococcus koreensis	112331		DSM 15895					GCF_014202615.1-RS_2025_04_27	2025-04-27	3469359		22	Contig	2020-08-14	JACHHE01	22	47.5							3432	Planococcus	87.92	7.91
ASM223777v1	GCF_002237775.1	GCA_002237775.1	Domibacillus enclensis	1017273		DSM 25145					GCF_002237775.1-RS_2025_03_28	2025-03-28	3835730		24	Contig	2017-08-01	MWSK01	24	46.5							3845	Bacillaceae	98.39	1.03
ASM687442v1	GCF_006874425.1	GCA_006874425.1	Paenibacillus ottowii	2315729		MS2379					GCF_006874425.1-RS_2025_04_23	2025-04-23	5509884		43	Contig	2019-07-10	VIJZ01	43	45.5							5210	Paenibacillus	99.72	
ASM127493v1	GCF_001274935.1	GCA_001274935.1	Priestia koreensis	284581		DSM 16467					GCF_001274935.1-RS_2025_05_02	2025-05-02	4603584		42	Contig	2015-08-26	LILC01	42	40							4833	Bacillaceae	99.27	
ASM3632042v1	GCF_036320425.1	GCA_036320425.1	Bacillus nitratireducens	2026193		4049					GCF_036320425.1-RS_2025_04_28	2025-04-28	5933421		89	Scaffold	2024-01-31	JAUMJO01	77	35							6197	Bacillus	98.82	
ASM169373v1	GCF_001693735.1	GCA_001693735.1	Orenia metallireducens	1413210		Z6					GCF_001693735.1-RS_2025_05_02	2025-05-02	3465989		31	Scaffold	2016-07-26	LWDV01	12	32.5							3337	Halobacteroidaceae	99.71	5.12
ASM293454v1	GCF_002934545.1	GCA_002934545.1	Lacrimispora xylanisolvens	384636		DSM 3808					GCF_002934545.1-RS_2025_06_16	2025-06-16	5629247		33	Contig	2018-02-21	PTJA01	33	42							5352	Lachnospiraceae	98.47	4.78
IMG-taxon 2622736579 annotated assembly	GCF_900115825.1	GCA_900115825.1	Desemzia incerta	82801		DSM 20581					GCF_900115825.1-RS_2025_04_21	2025-04-21	2330788		19	Contig	2016-11-02	FOXW01	19	38							2235	Carnobacteriaceae	98.22	3.86
ASM798896v1	GCF_007988965.1	GCA_007988965.1	Rummeliibacillus stabekisii	241244		NBRC 104870					GCF_007988965.1-RS_2025_08_26	2025-08-26	3264943		23	Contig	2019-08-01	BJVD01	23	37.5							3215	Planococcaceae	88.8	3.7
ASM1335993v1	GCF_013359935.1	GCA_013359935.1	Paenibacillus xylanilyticus	248903		LMG 21957					GCF_013359935.1-RS_2025_09_29	2025-09-29	7424532		206	Contig	2020-06-18	JABMCB01	206	46.5							6970	Paenibacillus	99.72	0.69
ASM338694v1	GCF_003386945.1	GCA_003386945.1	Halobacillus trueperi	156205		KCTC 3686					GCF_003386945.1-RS_2025_04_22	2025-04-22	4112483		66	Contig	2018-08-14	QUAE01	66	43.5							4127	Halobacillus	95.33	6.3
ASM1690897v1	GCF_016908975.1	GCA_016908975.1	Neobacillus cucumis	1740721		DSM 101566					GCF_016908975.1-RS_2025_08_29	2025-08-29	6026570		64	Contig	2021-02-19	JAFBEX01	64	38.5							6025	Bacillaceae	99.35	4.47
ASM2874618v1	GCF_028746185.1	GCA_028746185.1	Paenibacillus qinlingensis	1837343		TEGT-2					GCF_028746185.1-RS_2025_03_26	2025-03-26	8964429		58	Scaffold	2023-02-20	JAQIVH01	56	45							7555	Paenibacillus	99.72	0.83
ASM2756334v1	GCF_027563345.1	GCA_027563345.1	Psychrobacillus psychrodurans	126157		DSM 11713					GCF_027563345.1-RS_2025_03_09	2025-03-09	4027030		62	Scaffold	2023-01-03	JAMKBK01	57	36							4064	Bacillaceae	100	
ASM72254v1	GCF_000722545.1	GCA_000722545.1	Paenibacillus tyrfis	1501230		MSt1					GCF_000722545.1-RS_2025_12_09	2025-12-09	8033195		100	Contig	2014-07-07	JNVM01	100	53							7403	Paenibacillus	99.72	0.48
ASM799151v1	GCF_007991515.1	GCA_007991515.1	Oceanobacillus sojae	582851		NBRC 105379					GCF_007991515.1-RS_2025_08_26	2025-08-26	4829268		47	Contig	2019-07-31	BJYM01	47	37.5							4696	Oceanobacillus	77.64	25.22
ASM127375v1	GCF_001273755.1	GCA_001273755.1	Peribacillus butanolivorans	421767		DSM 18926					GCF_001273755.1-RS_2025_12_11	2025-12-11	5682344		79	Scaffold	2015-08-24	LGYA01	17	38							5517	Bacillaceae	99.35	1.13
ASM434274v1	GCF_004342745.1	GCA_004342745.1	Christensenella hongkongensis	270498		DSM 18959					GCF_004342745.1-RS_2025_12_11	2025-12-11	3152139		40	Scaffold	2019-03-11	SMCZ01	38	48.5							2994	Clostridia	98.91	
IMG-taxon 2675903063 annotated assembly	GCF_900129865.1	GCA_900129865.1	Virgibacillus chiguensis	411959		CGMCC 1.6496					GCF_900129865.1-RS_2025_04_25	2025-04-25	4128320		63	Scaffold	2016-12-03	FQXD01	45	36.5							3938	Bacillaceae	99.03	0.65
ASM4268012v1	GCF_042680125.1	GCA_042680125.1	Robinsoniella peoriensis	180332		CCUG 48729					GCF_042680125.1-RS_2025_11_20	2025-11-20	7464303		123	Scaffold	2024-10-06	JBHTNY01	119	41							6471	Lachnospiraceae	98.75	1.34
